Well	StrainID
A1	Desert-26
A2	Grass-45
A3	Grass-42
A4	Grass-54
A5	23G3B01
A6	23G3A03
A7	23G4A03
A8	23G2A11
A9	26G3B01
A10	02G2A03
A11	25D05
B1	Grass-59
B2	Grass-44
B3	Grass-53
B4	Grass-57
B5	23G3A10
B6	23G3A08
B7	23G1B09
B8	23G2B11
B9	26G3B10
B10	02G1B04
B11	35D02
C1	19G2B10
C2	41G1B04
C3	19G3B08
C4	Mcba15-005
C5	35G1B04
C6	Grass-34
C7	S.11
C8	35G3B11
C9	35G3B09
C10	Mmlr14-002
C11	NEG
D1	12G2A10
D2	Mcba15-003
D3	19G4A01
D4	Mmlr14-006
D5	35G3B01
D6	Grass-31
D7	Mcba15-007
D8	35G3B02
D9	26G1A06
D10	Mcba15-009
D11	NEG
E1	26G1B06
E2	26G3A08
E3	Mmlr14-014
E4	Grass-36
E5	Grass-40
E6	23G3B06
E7	Grass-51
E8	23G3B05
E9	Salt-5
E10	Wood-51
E11	NEG
F1	Grass-39
F2	40G1B01
F3	28G3A04
F4	Grass-43
F5	23G3B07
F6	Grass-55
F7	Salt-6
F8	08G4A02
F9	23G3B08
F10	08G1B09
F11	NEG
G1	Salt-16
G2	Wood-21
G3	09G1A07
G4	09G3B12
G5	Salt-11
G6	Wood-3
G7	Wood-18
G8	Napa-18
G9	Pine-20
G10	02D05
G11	NEG
H1	Napa-12
H2	Grass-58
H3	40G3B03
H4	35G2A07
H5	35G3B04
H6	33G3A07
H7	25G2A02
H8	25G3A08
H9	28G4A10
H10	23D06
H11	NEG
