Well	StrainID
A1	02D05
A2	02G1B04
A3	02G2A03
A4	04G1A01
A5	25G3A08
A6	25G4A05
A7	26G1A06
A8	41G3A07
A9	Desert-26
A10	Grass-31
A11	Grass-34
A12	04G2A10
B1	08G1B09
B2	08G4B02
B3	09G1A07
B4	26G1B04
B5	26G1B06
B6	26G3B01
B7	Grass-36
B8	Grass-39
B9	Grass-40
B10	Grass-42
B11	09G3B12
B12	12G2A10
C1	16G1A05
C2	16G2A12
C3	26G3B03
C4	26G3B10
C5	28D10
C6	28G1A08
C7	Grass-43
C8	Grass-44
C9	Grass-45
C10	Grass-51
C11	18G1A07
C12	18G4B09
D1	19G2B10
D2	19G3B07
D3	28G3A04
D4	28G4A10
D5	30G3A09
D6	32G4B12
D7	Grass-53
D8	Grass-54
D9	Grass-55
D10	Grass-57
D11	19G3B08
D12	19G4A01
E1	20G2A05
E2	23D06
E3	33G1A03
E4	33G3A07
E5	33G4B08
E6	Grass-58
E7	Grass-59
E8	Pine-20
E9	Salt-11
E10	23G1B04
E11	23G1B09
E12	23G2A11
F1	23G2B11
F2	35D02
F3	35D04
F4	35G1B04
F5	35G2A07
F6	Mcba15-003
F7	Salt-6
F8	Salt-5
F9	Salt-16
F10	23G3A03
F11	23G3A08
F12	23G3A10
G1	23G3B01
G2	35G2B08
G3	35G3B01
G4	35G3B02
G5	35G3B04
G6	Mcba15-005
G7	Mcba15-007
G8	Mcba15-009
G9	Mmlr14-002
G10	23G3B05
G11	23G3B06
G12	23G3B07
H1	23G3B08
H2	35G3B09
H3	35G3B10
H4	35G3B11
H5	Mmlr14-006
H6	Mmlr14-014
H7	Wood-18
H8	Wood-21
H9	23G4A03
H10	23G4A04
H11	24G4A10
H12	24G2B02
p2A1	36G1B07
p2A2	36G1B08
p2A3	36G4B07
p2A4	37G2A11
p2A5	Wood-3
p2A6	Wood-51
p2A7	Napa-12
p2A8	Napa-18
p2A9	S.11
p2A10	23G4B04
p2A11	23G4B10
p2A12	25D05
p2B1	25G2A02
p2B2	37G2B01
p2B3	40G1B01
p2B4	40G3B03
p2B5	41G1B04
p2B6	NEG
p2B7	NEG
p2B8	NEG
p2B9	NEG
p2B10	NEG
p2B11	NEG
p2B12	NEG
