sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	StrainID	replicate	Temp	max.OD	date
A1	0.660771501409033	0.0244133449891587	0.0795797241420528	40.9731457408234	8.71009780484601	8.08477813606555	8.1986	0.0135707796687876		Desert-26	1	9	0.41495	2024-01-14
A10	0.51795313840198	0.0270531020317933	0.083435429830777	34.7387056627331	8.30758805900299	8.30945019418542	8.4311	0.0158002619254229		23G3A10	1	9	0.37055	2024-01-14
A11	0.4966920952445	0.0267914622219883	0.0979006752875905	29.258613200383	7.08010622525099	9.77883305165905	9.9677	0.0184753000667772		23G3A03	1	9	0.41145	2024-01-14
A12	0.56117168008947	0.0266805066705593	0.0933818591117399	32.0981187738891	7.42271772219197	9.8579387516621	10.0701	0.0209835339268662		23G3A08	1	9	0.44195	2024-01-14
A13	0.586046535261699	0.0365116457743433	0.0879180803385071	30.8405390851491	7.88401177426932	10.9595827149332	11.01575	0.0182744115320349		23G4A03	1	9	0.46285	2024-01-14
A14	0.533533447978677	0.0478149078770583	0.0744009462764219	31.1594403757194	9.31637586953122	10.1135801956747	10.05975	0.0151770656575474		23G1B09	1	9	0.40645	2024-01-14
A15	0.511748495720921	0.0138084249285446	0.11580832976966	30.958056550757	5.98529641122186	9.175270600372	9.52505	0.0270024490575827		23G2A11	1	9	0.44425	2024-01-14
A16	0.566234936251119	0.0352107096530461	0.0664700915268342	40.822229885877	10.4279558616242	7.63003985864337	7.55965	0.0121716589965667		23G2B11	1	9	0.34525	2024-01-14
A17	0.42464448956187	0.0510624069582876	0.0789024346141935	25.2221519609807	8.78486429410199	9.80841684267332	9.69735	0.011656916246793		26G3B01	1	9	0.37035	2024-01-14
A18	0.422795598731268	0.0371004614991987	0.0927898588113991	25.2335533065438	7.4700747413444	9.72726465813944	9.7003	0.0146534057357633		26G3B10	1	9	0.37715	2024-01-14
A19	0.49656784545155	0.0219303762487445	0.107715357984928	28.5444771138677	6.43498934160283	9.98749146804911	10.13465	0.013516029602451		02G2A03	1	9	0.42565	2024-01-14
A2	0.537731675481577	0.0256439032084413	0.0930757688773406	32.1693844165708	7.44712817224648	9.4222476221625	9.51495	0.0144562135328933		Grass-59	1	9	0.42505	2024-01-14
A20	0.648495580615592	0.0225553748771868	0.0765627509912999	43.4059828600382	9.05332125067854	7.19110843199124	7.2695	0.0152957118104073		02G1B04	1	9	0.37115	2024-01-14
A21	0.778214326204645	0.0436388564260312	0.0641054051635344	44.0422266593603	10.8126167955995	9.35138311673223	9.25815	0.0140878094472235		25D05	1	9	0.44155	2024-01-14
A22	0.61949472214671	0.032854612564573	0.0613457360874224	46.9848365414668	11.2990278504794	6.76873768629809	6.8013	0.0108885400919763		35D02	1	9	0.31405	2024-01-14
A3	0.514380342719643	0.0183095036633839	0.105753613362626	31.1979740586207	6.55435931236847	9.22653175941361	9.4293	0.0149176703086125		Grass-45	1	9	0.42285	2024-01-14
A4	0.516761457579603	0.0187356765983314	0.087733296134526	37.3885678929063	7.90061711003206	7.22334351861629	7.3677	0.0170841986045225		Grass-44	1	9	0.35345	2024-01-14
A5	0.462863697224443	0.0154718551148217	0.103388207890658	32.541547137858	6.70431565360923	7.82760271175436	8.08035	0.0208964443079875		Grass-42	1	9	0.36505	2024-01-14
A6	0.47273335482005	0.0165210801200082	0.101675611824875	32.636352098692	6.81724130417643	7.98261106971851	8.24785	0.0265338728878736		Grass-53	1	9	0.36875	2024-01-14
A7	0	0.04685	0	-0.0557644892691975	0.204788913465346	0.390990810686082	0.5027	0.000512495381070417	questionable fit (k < n0)	Grass-54	1	9	0.04685	2024-01-14
A8	0.498064181006371	0.0269468205496323	0.102794216317141	27.8346586406606	6.74305622819718	10.3483642469354	10.45425	0.013299365978044		Grass-57	1	9	0.43665	2024-01-14
A9	0.588737830867385	0.034917451661712	0.0658637397634549	41.9632056576323	10.5239572342739	7.60186706940073	7.61265	0.0116890384196722		23G3B01	1	9	0.34415	2024-01-14
B1	0.576427549714011	0.0196777567747419	0.0915711512282301	36.5030578876589	7.5694929163046	8.292791188528	8.3552	0.0125188918368302		Desert-26	2	9	0.42825	2024-01-14
B10	0.577317902122241	0.0506775141387114	0.0599725154439912	39.0351416550874	11.5577473352319	8.71957398617623	8.66485	0.0254157602298889		23G3A10	2	9	0.35345	2024-01-14
B11	0.526848449626692	0.0377501378440801	0.0813897233911087	31.4729462386965	8.51639680883431	9.72459469586761	9.8251	0.0263849894257719		23G3A03	2	9	0.40675	2024-01-14
B12	0.57830575964749	0.0503995068933634	0.0684310412245716	34.3256113473986	10.12913391578	9.93422463888875	9.90365	0.0221221639266048		23G3A08	2	9	0.39515	2024-01-14
B13	0.530269236545016	0.0472518636474523	0.0727703948501727	31.9437668448512	9.52512600745219	9.80645335506036	9.73855	0.0197447168938442		23G4A03	2	9	0.38865	2024-01-14
B14	0.50024456340736	0.0653445973705704	0.0618681167657883	30.6368025432201	11.203625013898	9.92984792317119	9.7468	0.0168285389863535		23G1B09	2	9	0.36855	2024-01-14
B15	0.451514648103798	0.0259865599209505	0.0883817610153204	31.6326745206952	7.84264957607931	8.16710880084849	8.29015	0.0193526717877156		23G2A11	2	9	0.34735	2024-01-14
B16	0.380019495379028	0.0388180974099091	0.0730650742845315	29.7486366520608	9.48671013267813	7.59209979146534	7.5003	0.0141384721349414		23G2B11	2	9	0.29595	2024-01-14
B17	0.366007599098415	0.049668015136376	0.0760746333811243	24.3373516214337	9.11141006868039	8.69497292591254	8.57395	0.013115430208641		26G3B01	2	9	0.31345	2024-01-14
B18	0.370961703101104	0.0407697276877396	0.0910735044622657	22.9675403813987	7.61085438243057	9.20860773202362	9.1193	0.0139172508556392		26G3B10	2	9	0.33565	2024-01-14
B19	0.371118505102209	0.0180461004508181	0.116103127645192	25.6129493546684	5.9700991232397	8.37809542616156	8.50785	0.0108791607852947		02G2A03	2	9	0.34445	2024-01-14
B2	0.611007874832955	0.0551123092349978	0.0736075701547075	31.3990442937924	9.41679203787188	11.5022813966415	11.5033	0.0273620173370986		Grass-59	2	9	0.46745	2024-01-14
B20	0.477394641318955	0.0198706440390245	0.0920873236240573	34.0609949806342	7.52706402229355	7.70175049391104	7.8038	0.0112710814282989		02G1B04	2	9	0.35885	2024-01-14
B21	0.637254795660482	0.0418813579939198	0.0635114757229658	41.7932034089187	10.9137313008349	8.44403540303832	8.30845	0.0133831081804826		25D05	2	9	0.38015	2024-01-14
B22	0.36651898680953	0.0279441548480472	0.0864010673538836	28.8716003721777	8.02243770578593	7.41787348650061	7.45165	0.0098701798034857		35D02	2	9	0.30815	2024-01-14
B3	0.517844947089425	0.0483818136758703	0.0767864718656009	29.5946111946614	9.0269439879092	10.3385064851634	10.2419	0.0325500448018479		Grass-45	2	9	0.43305	2024-01-14
B4	0.584102996466385	0.0469908793869824	0.0595035996998187	40.9429570959917	11.6488277021341	8.25663482687802	8.2458	0.0262225967800182		Grass-44	2	9	0.34535	2024-01-14
B5	0.598075461620205	0.0367122470805155	0.06992972753929	38.9999764896776	9.91205321328473	8.49436332514979	8.581	0.0314685322062092		Grass-42	2	9	0.38355	2024-01-14
B6	0.627339482317395	0.0425570503683646	0.069651841060084	37.6213218430218	9.9515988380266	9.44175955910207	9.51185	0.0289302502434696		Grass-53	2	9	0.41715	2024-01-14
B7	0	0.04675	0	-0.0550275077553166	0.270423200299953	0.300066738911148	0.41565	0.000171888001451017	questionable fit (k < n0)	Grass-54	2	9	0.04675	2024-01-14
B8	0.503599252316094	0.0501861866685321	0.0806350079951312	27.2966269435681	8.59610729624778	10.8483580549668	10.883	0.0249304633656229		Grass-57	2	9	0.42035	2024-01-14
B9	0.77864523162692	0.0485025675893133	0.0532925981259043	50.8817979244078	13.0064437639609	8.10879148431701	8.0268	0.0263409762544282		23G3B01	2	9	0.34955	2024-01-14
C1	0.514195527463189	0.0238526907583108	0.0924627731370765	32.6964861597773	7.49650001879514	8.81420967243374	8.86225	0.0130707490585454		Desert-26	3	9	0.42135	2024-01-14
C10	0.348213058817999	0.0525735144868947	0.0676592926665173	25.5238921734588	10.2446708093205	8.00141717731571	7.9015	0.0224390433660308		23G3A10	3	9	0.30045	2024-01-14
C11	0.399822088158267	0.0490419031407848	0.078756792095146	24.9817777315765	8.80110987408623	9.30628134172642	9.27425	0.0285856223964647		23G3A03	3	9	0.37615	2024-01-14
C12	0.442423926830216	0.0585669806634406	0.0657305222638725	28.6031331341071	10.5452863705743	9.28450438664707	9.17075	0.0241713673985573		23G3A08	3	9	0.36005	2024-01-14
C13	0.399215778166204	0.0558645119905116	0.0722460592043974	25.133892593183	9.59425591088511	9.26448190107334	9.12405	0.0200284486748421		23G4A03	3	9	0.34435	2024-01-14
C14	0.379052225063352	0.0639119952347733	0.0719160043354376	22.1857521972655	9.63828826372084	9.5767749003628	9.44315	0.018785586074232		23G1B09	3	9	0.33285	2024-01-14
C15	0.345247493888142	0.0439162064935354	0.0734600957094357	26.2173203439085	9.4356966713142	7.74517390219137	7.69165	0.0187326230139898		23G2A11	3	9	0.29605	2024-01-14
C16	0.370279731482682	0.0433675852998538	0.0704384412123794	28.6772272975663	9.84046734467097	7.69981836543813	7.63865	0.0185897941006847		23G2B11	3	9	0.30175	2024-01-14
C17	0.309953748991937	0.0527868206381701	0.0791515541556128	20.0054675764194	8.75721504087223	8.35128006175097	8.2212	0.0172147095515065		26G3B01	3	9	0.29375	2024-01-14
C18	0.35510386581803	0.0406315697805461	0.0900380334579555	22.7276247548765	7.69838204966594	8.88081142572944	8.8679	0.0158824138781778		26G3B10	3	9	0.33415	2024-01-14
C19	0.333976905550287	0.0249530772294093	0.107585101670263	23.3900530716963	6.44278036455616	8.19049485417774	8.29885	0.0120226093585892		02G2A03	3	9	0.30655	2024-01-14
C2	0.630214280811897	0.113590137348056	0.0588438053575521	25.7413490219096	11.7794418010219	14.458012214721	14.60785	0.0192673321132291		Grass-59	3	9	0.48255	2024-01-14
C20	0.341563983390547	0.0224843376488836	0.0937073497473738	28.3075104527145	7.39693505822761	7.0126582104898	7.07555	0.00939009229504015		02G1B04	3	9	0.29715	2024-01-14
C21	0.474036496442619	0.0419202684484822	0.06904211948067	33.7898832200966	10.0394829384403	8.28637386039259	8.189	0.00961260307859244		25D05	3	9	0.34535	2024-01-14
C22	0.334957151304224	0.0288622472939827	0.0962297048600076	24.53879269399	7.20304797326685	7.89111715604563	7.8954	0.00972951668925787		35D02	3	9	0.30845	2024-01-14
C3	0.517459066106621	0.058335556551783	0.0639627472055969	32.2548288050306	10.8367324863635	9.69869841990304	9.60825	0.0364536945536951		Grass-45	3	9	0.39155	2024-01-14
C4	0.487848087352537	0.0569964859134292	0.0577467248271952	35.0283779620236	12.0032293196568	8.5494268807681	8.4789	0.0322619247437631		Grass-44	3	9	0.34035	2024-01-14
C5	0.482007570848582	0.0520624831596215	0.0612996415771134	34.4408686038685	11.3075241995989	8.47967361046278	8.47295	0.034705169797842		Grass-42	3	9	0.34975	2024-01-14
C6	0.475233960707101	0.0601567412345616	0.0646177295949473	29.8913483370807	10.7268885011111	9.59820522757923	9.47615	0.0285326708165358		Grass-53	3	9	0.38055	2024-01-14
C7	0	0	0	0	0	0	0	0	cannot fit data	Grass-54	3	9	0.04685	2024-01-14
C8	0.427890687839032	0.0486418757539434	0.0862589136260018	23.8086430571057	8.03565859367609	10.3329104829638	10.33125	0.02316349307635		Grass-57	3	9	0.39185	2024-01-14
C9	0.489593085916874	0.0472864286224847	0.0629828674099171	35.498226664057	11.0053290531959	8.24645491334047	8.2011	0.0268257357613296		23G3B01	3	9	0.34015	2024-01-14
D1	0.45488428248675	0.0343323592619649	0.0853563878963248	29.3531589740053	8.12062456768733	9.05151468298443	9.02775	0.00961422624971829		19G2B10	1	9	0.37705	2024-01-14
D10	0.307283500968679	0.0468739456600992	0.0807008582493135	21.2487655043757	8.58909304803882	8.00603067175131	7.93605	0.0245720405615028		35G3B01	1	9	0.30055	2024-01-14
D11	0.318238785304631	0.0541003166704059	0.0674451557005752	23.509967651679	10.2771974259677	7.74208975206448	7.68935	0.0296367873013195		Grass-34	1	9	0.30365	2024-01-14
D12	0.319515812824417	0.047013647184529	0.0798775222992943	21.9987874636316	8.67762495139474	8.14341225346027	8.1425	0.0258411859374821		Grass-31	1	9	0.32405	2024-01-14
D13	0.339403763166397	0.0282459800560226	0.0897358015801655	26.7379232580601	7.72431034608547	7.4110755859639	7.48675	0.022995184356478		S.11	1	9	0.32015	2024-01-14
D14	0.37222199941128	0.0198752685855499	0.0919937784201718	31.2536303727979	7.53471802619161	6.79683886642728	6.88855	0.0175050991950369		Mcba15-007	1	9	0.30395	2024-01-14
D15	0.336570053512957	0.04964890631548	0.0761615311109716	23.0330331023615	9.10101425810349	8.31293799539296	8.2373	0.021777711760247		35G3B11	1	9	0.32175	2024-01-14
D16	0.328225272830671	0.0436900320167518	0.0813374939141682	23.0365732854537	8.52186546700581	8.11494652401523	8.0329	0.0193925987396452		35G3B02	1	9	0.30495	2024-01-14
D17	0.320297369633342	0.0338882073489906	0.0870296776016953	24.5244426562594	7.96449210960243	7.55619003835164	7.5507	0.0160652859714915		35G3B09	1	9	0.29065	2024-01-14
D18	0.234411393189759	0.0237712180853608	0.115026206188469	18.9667719562936	6.02599358466396	6.65881062027098	6.6879	0.0171178548720333		26G1A06	1	9	0.25575	2024-01-14
D19	0.216364047855203	0.0206571441948663	0.0976798171885105	23.019667622478	7.09611463770713	5.36767618190207	5.4491	0.0140561455953828		Mmlr14-002	1	9	0.21565	2024-01-14
D2	0.793344829342899	0.0535928923902642	0.0544126951238537	48.2405521186837	12.7387033298426	8.99129652661537	9.0457	0.0476891130771601		12G2A10	1	9	0.40385	2024-01-14
D20	0.325347101395517	0.0170000683780801	0.107557714117188	26.9437532841164	6.44442089764696	6.98713605598051	7.0602	0.0123034640928142		Mcba15-009	1	9	0.29535	2024-01-14
D3	0.24445	0.0358824411205723	0.0385605454197429	415.290131211289	17.9755543656044	4.99293353731456	4.9941	0.0548449963669051		41G1B04	1	9	0.24445	2024-01-14
D4	0.481199571966657	0.069485199344453	0.0566713921793854	31.3953125086654	12.2309891093885	9.46352898445888	9.26415	0.0411264682990431		Mcba15-003	1	9	0.36925	2024-01-14
D5	0.581846925239319	0.0733186882082419	0.0457986079939704	42.2874252589529	15.1346779066124	8.86525832136288	8.67075	0.0398638289039148		19G3B08	1	9	0.33765	2024-01-14
D6	0.50801695789517	0.0613863676823078	0.0505129715008578	39.2878103996953	13.7221620499632	8.13040053954823	8.0566	0.0430247257217833		19G4A01	1	9	0.34005	2024-01-14
D7	0.418288907390766	0.0508798677643592	0.0698397900690583	28.3077663146442	9.92481764155582	8.80994732840862	8.74635	0.0395257941796398		Mcba15-005	1	9	0.37575	2024-01-14
D8	0.401214410362925	0.0624166460175469	0.0596236240587711	28.3708242800226	11.6253782204971	8.5560153072087	8.45315	0.038561279321684		Mmlr14-006	1	9	0.34585	2024-01-14
D9	0.328883801458841	0.0370585823410958	0.0786276068621576	26.2459354124493	8.81557010599477	7.34958880676343	7.39015	0.0285107045297434		35G1B04	1	9	0.30715	2024-01-14
E1	0.417161236062104	0.0308348286210519	0.0919242260866253	27.5013223868912	7.5404189958233	8.84464169862409	8.8535	0.00967209165719107		19G2B10	2	9	0.36205	2024-01-14
E10	0.292070077801671	0.0444236081508587	0.0818446227566084	20.993818560416	8.46906195195307	7.67025611858893	7.65045	0.0307555269109177		35G3B01	2	9	0.30545	2024-01-14
E11	0.29527514215008	0.0470217924729612	0.074346591832591	22.3794876281	9.32318702813884	7.42730970856214	7.42755	0.0273424328507891		Grass-34	2	9	0.29465	2024-01-14
E12	0.313646171235848	0.0456708770208429	0.0777141654369924	22.7684869302802	8.91918708336284	7.81006859452526	7.83085	0.0269122012913426		Grass-31	2	9	0.31645	2024-01-14
E13	0.319972394549479	0.0246010131746104	0.0942597651285089	26.3680463561616	7.35358484730939	7.0654030463248	7.16405	0.0229878061692263		S.11	2	9	0.30895	2024-01-14
E14	0.349361267218189	0.0198204892705923	0.0890888037238637	31.5526056197689	7.78040731929007	6.33207722630115	6.422	0.0180759668521042		Mcba15-007	2	9	0.28135	2024-01-14
E15	0.324174677268208	0.0486646205890934	0.0771177407103091	22.4808432646537	8.98816762752083	8.13874010133454	8.08275	0.0243918738464281		35G3B11	2	9	0.31915	2024-01-14
E16	0.302741842658384	0.0388797988064954	0.0879468026826032	21.7739763372496	7.88143695298951	7.79342034866869	7.75665	0.0196906433293387		35G3B02	2	9	0.29735	2024-01-14
E17	0.310529794235889	0.0360791051887538	0.0843871547824259	24.0446276064143	8.21389442915899	7.44208784752242	7.4199	0.0151311956174989		35G3B09	2	9	0.28025	2024-01-14
E18	0.241566198561524	0.0217638454430392	0.120484657476829	19.1931376904163	5.75299125279289	6.8308566340367	6.87465	0.0161157952958722		26G1A06	2	9	0.25315	2024-01-14
E19	0.231595787010929	0.018927756598204	0.101281282562214	23.8849953145768	6.84378359974034	5.58062619132235	5.66535	0.0152667821461838		Mmlr14-002	2	9	0.23115	2024-01-14
E2	0.846185568985614	0.0509644368101517	0.0539810127982312	50.8973806751028	12.8405738356702	8.71378591687206	8.77405	0.0502064595027858		12G2A10	2	9	0.39885	2024-01-14
E20	0.312139843057094	0.0159230180757532	0.113469989645103	25.7629878355083	6.10863879275816	7.0092415714937	7.1003	0.0138083189141194		Mcba15-009	2	9	0.29225	2024-01-14
E3	0.22465	0.0290493900372022	0.0419841029806123	372.229105788116	16.5097532482719	4.49917196120061	4.54255	0.0470652136577715		41G1B04	2	9	0.22465	2024-01-14
E4	0.44133132593026	0.0640415662653212	0.0579817779562234	30.5868706097125	11.9545692628342	8.85633684963784	8.6767	0.0382797622247742		Mcba15-003	2	9	0.34755	2024-01-14
E5	0.627129140418155	0.0658146135219229	0.0451121892058895	47.5135331820106	15.3649643868193	8.24791316482132	8.0913	0.0370798014277723		19G3B08	2	9	0.32725	2024-01-14
E6	0.550725962320683	0.0585464480919729	0.0480744020494485	44.2860025673615	14.4182174090691	7.72122374953246	7.65585	0.0341749835380011		19G4A01	2	9	0.30695	2024-01-14
E7	0.392391916409264	0.0529626789544798	0.0657739469477343	28.2433711977568	10.5383242564224	8.32580680970366	8.27185	0.0385543076199088		Mcba15-005	2	9	0.34415	2024-01-14
E8	0.393999729485745	0.0580214649165574	0.0570816346418006	30.7670488636	12.1430856861334	7.88292305296186	7.8243	0.0367191391201749		Mmlr14-006	2	9	0.32245	2024-01-14
E9	0.343391852416657	0.0375391501020509	0.0744435299860849	28.1786641547001	9.31104665092466	7.22230931725916	7.25825	0.0325193018277648		35G1B04	2	9	0.30765	2024-01-14
F1	0.438076747955684	0.0341479041638195	0.0844129260778325	29.2672892098674	8.21138672436059	8.75602595828367	8.7613	0.00891356118038893		19G2B10	3	9	0.36085	2024-01-14
F10	0.266238391794008	0.0383583762015803	0.0870890047447101	20.4600607120437	7.95906650434018	7.12245575001702	7.14455	0.0261018398551402		35G3B01	3	9	0.28395	2024-01-14
F11	0.314929976513555	0.0516055787727749	0.0675856054567739	24.1139652471524	10.2558403653462	7.53426686408864	7.5402	0.0298108615286021		Grass-34	3	9	0.30295	2024-01-14
F12	0.308660525623622	0.0463620493119758	0.0752309898624505	23.0357444354178	9.21358580855136	7.62139813479734	7.60245	0.0259730498398065		Grass-31	3	9	0.30235	2024-01-14
