"strain","pH","term","df","sumsq","meansq","statistic","p.value","clade","subclade"
"04G2A10",9.2,"date",1,0.000000578271233851695,0.000000578271233851695,0.444444444444444,0.541469739275585,"III","IIIA"
"04G2A10",7.1,"date",1,0.00517886365658366,0.00517886365658366,0.788220225001213,0.424800452945273,"III","IIIA"
"04G2A10",7.4,"date",1,0.0129780051722177,0.0129780051722177,4.37713644074789,0.104575061702175,"III","IIIA"
"04G2A10",3.5,"date",1,0.00251890501726109,0.00251890501726109,2.66666666666667,0.177807808356221,"III","IIIA"
"04G2A10",6.5,"date",1,0.00185199086664409,0.00185199086664409,0.373179062327885,0.574285085974138,"III","IIIA"
"04G2A10",5.9,"date",1,0.0266114066708792,0.0266114066708792,3.68050250472294,0.127496841512155,"III","IIIA"
"04G2A10",8,"date",1,0.00148498721354359,0.00148498721354359,0.444444444444444,0.541469739275585,"III","IIIA"
"04G2A10",8.3,"date",1,0.00232579243412252,0.00232579243412252,0.444444444444444,0.541469739275585,"III","IIIA"
"04G2A10",7.7,"date",1,0,0,NA,NA,"III","IIIA"
"04G2A10",6.8,"date",1,0.0169835943393082,0.0169835943393082,1.50247789451526,0.287522243482145,"III","IIIA"
"08G1A03",7.4,"date",1,0.00000518430471325971,0.00000518430471325971,0.0510097388791694,0.858589858233688,"I","IC"
"08G1A03",7.1,"date",1,0.000775648312465811,0.000775648312465811,31.2973228942081,0.112606607332211,"I","IC"
"08G1A03",4.7,"date",1,0.0000369631311213795,0.0000369631311213795,4.17450010532077,0.289765404609898,"I","IC"
"08G1A03",8,"date",1,0.0000419542766880299,0.0000419542766880299,0.191996872049201,0.737091045810268,"I","IC"
"08G1A03",8.3,"date",1,0.0000000895601232320214,0.0000000895601232320214,0.0146891743232097,0.92321688010113,"I","IC"
"08G1A03",7.7,"date",1,0.0000805175922891567,0.0000805175922891567,1.93770787551545,0.396586796130461,"I","IC"
"08G1A03",6.8,"date",1,0.000000344339056646474,0.000000344339056646474,0.0218047174421076,0.906668503119746,"I","IC"
"08G1A03",6.2,"date",1,0.000000552330013549223,0.000000552330013549223,0.000585391492132371,0.984600075080398,"I","IC"
"08G1A03",5.9,"date",1,0.000657274134593891,0.000657274134593891,1.04015360829177,0.493734728721556,"I","IC"
"08G1A03",5,"date",1,0.000670900547015962,0.000670900547015962,19.9726597157316,0.14014145385304,"I","IC"
"08G1A03",4.1,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",3.5,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",8.9,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",8.6,"date",1,0.00120773119475438,0.00120773119475438,2.04406711492174,0.388562243678096,"I","IC"
"08G1A03",9.5,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",6.5,"date",1,0.0000714260467057711,0.0000714260467057711,0.176368621853151,0.74688237468938,"I","IC"
"08G1A03",3.8,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",5.3,"date",1,0.0013301170264893,0.0013301170264893,26.9672701198841,0.121109388798424,"I","IC"
"08G1A03",5.6,"date",1,0.000019466644047485,0.000019466644047485,4.36238247492288,0.284269741527419,"I","IC"
"08G1A03",9.2,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",9.8,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",10.1,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",3.2,"date",1,0,0,NA,NA,"I","IC"
"08G1A03",4.4,"date",1,0.000373093958666606,0.000373093958666606,3406.44657939199,0.0109065360636957,"I","IC"
"16G1A05",8.3,"date",2,0.0117915417854948,0.0058957708927474,19.5780154769112,0.157806399035919,"I","IC"
"16G1A05",8,"date",2,0.0176095517955478,0.0088047758977739,105.230781640701,0.0687676654089899,"I","IC"
"16G1A05",8.6,"date",2,0.00718863732143594,0.00359431866071797,37.3747928977374,0.114897312056639,"I","IC"
"16G1A05",7.4,"date",2,0.00878665625136107,0.00439332812568054,23.1203729746674,0.145492841787591,"I","IC"
"16G1A05",7.7,"date",2,0.0109330459645488,0.00546652298227442,33.4749926003171,0.121312434085269,"I","IC"
"16G1A05",5.6,"date",2,0.00852023263617858,0.00426011631808929,14.4556429907719,0.182844734180443,"I","IC"
"16G1A05",5,"date",2,0.0333406192841409,0.0166703096420704,1033.47379775897,0.0219902534821957,"I","IC"
"16G1A05",7.1,"date",2,0.0141756043803757,0.00708780219018787,3539.96657530833,0.0118837840924167,"I","IC"
"16G1A05",6.8,"date",2,0.00599591862476916,0.00299795931238458,84.3474268426724,0.0767654259670099,"I","IC"
"16G1A05",3.5,"date",2,0.00000710854935531847,0.00000355427467765924,0.900328553442099,0.597544192637126,"I","IC"
"16G1A05",8.9,"date",2,0.000629240927159652,0.000314620463579826,2.32771078720636,0.420501459848401,"I","IC"
"16G1A05",5.3,"date",2,0.0292004010690469,0.0146002005345234,1037.2234970843,0.0219504878505368,"I","IC"
"16G1A05",4.4,"date",2,0.020261467537988,0.010130733768994,248.45561077871,0.0448150662630144,"I","IC"
"16G1A05",6.5,"date",2,0.00391558186151205,0.00195779093075603,8.72131472836135,0.232856614882534,"I","IC"
"16G1A05",4.1,"date",2,0.030421526447147,0.0152107632235735,5655.9186686042,0.00940186971425358,"I","IC"
"16G1A05",4.7,"date",2,0.0224514316085784,0.0112257158042892,5384.36025488597,0.00963602201566283,"I","IC"
"16G1A05",10.1,"date",2,0.00301879837108951,0.00150939918554476,7.16744743336965,0.255363956536418,"I","IC"
"16G1A05",3.8,"date",2,0.026498898263265,0.0132494491316325,155.477476919146,0.0566179390676497,"I","IC"
"16G1A05",3.2,"date",2,0,0,NA,NA,"I","IC"
"16G1A05",6.2,"date",2,0.012456973962221,0.00622848698111049,12.5977084208307,0.195383256206494,"I","IC"
"16G1A05",5.9,"date",2,0.0182543339761399,0.00912716698806994,18.0705458441879,0.164086430509176,"I","IC"
"16G1A05",9.2,"date",2,0.000898929833950051,0.000449464916975025,5.05191627764405,0.300098308805612,"I","IC"
"16G1A05",9.5,"date",2,0.00721397024124706,0.00360698512062353,1434.11256842472,0.0186688551693889,"I","IC"
"16G1A05",9.8,"date",2,0.00251981464870989,0.00125990732435494,1155.15049160658,0.0208004029349837,"I","IC"
"16G2A12",3.8,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",9.5,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",4.1,"date",3,0.00211683615285738,0.00070561205095246,1.14256135213171,0.457671987855605,"IV","IVC"
"16G2A12",10.1,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",4.7,"date",3,0.0209899789881787,0.00699665966272622,4720.66734036672,0.000005232125835369,"IV","IVC"
"16G2A12",7.7,"date",3,0.012443540987158,0.00414784699571933,457.579600179519,0.000172759700177811,"IV","IVC"
"16G2A12",6.8,"date",3,0.0192160458869383,0.00640534862897943,1.63616356558614,0.347874255749687,"IV","IVC"
"16G2A12",4.4,"date",3,0.0108526135106736,0.0036175378368912,58368.9000455543,0.000000120382455805079,"IV","IVC"
"16G2A12",9.8,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",5,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",3.5,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",8,"date",3,0.00935450944135859,0.0031181698137862,344.554428461234,0.000264056437793616,"IV","IVC"
"16G2A12",8.3,"date",3,0.000909889234222202,0.000303296411407401,0.714285714285714,0.605610009105132,"IV","IVC"
"16G2A12",6.5,"date",3,0.0163687975390301,0.00545626584634335,1.97205123610191,0.295558665245003,"IV","IVC"
"16G2A12",8.9,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",9.2,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",7.1,"date",3,0.0162502829576015,0.00541676098586715,1.6444277998722,0.346409897744701,"IV","IVC"
"16G2A12",8.6,"date",3,0.0135123266540214,0.0045041088846738,5.68444212871359,0.0936977053823324,"IV","IVC"
"16G2A12",5.6,"date",3,0.0917029346785782,0.0305676448928594,33.2174280548769,0.00840684580920631,"IV","IVC"
"16G2A12",5.3,"date",3,0,0,NA,NA,"IV","IVC"
"16G2A12",6.2,"date",3,0.00744611978213325,0.00248203992737775,2.77837124151423,0.211824835922071,"IV","IVC"
"16G2A12",7.4,"date",3,0.0145589153933797,0.00485297179779323,1.40722584937864,0.392820133841282,"IV","IVC"
"16G2A12",5.9,"date",3,0.0392574373273877,0.0130858124424626,180.659558230452,0.000692218118370677,"IV","IVC"
"16G2A12",3.2,"date",3,0,0,NA,NA,"IV","IVC"
"18G1A07",5.3,"date",1,0.00579648975240867,0.00579648975240867,6.41197568753645,0.239442518311737,"III","IIID"
"18G1A07",5,"date",1,0.00415214273092313,0.00415214273092313,115.629883206624,0.0590333976137688,"III","IIID"
"18G1A07",4.4,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",7.1,"date",1,0.0087716630673642,0.0087716630673642,0.333333333333334,0.666666666666667,"III","IIID"
"18G1A07",7.4,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",3.8,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",4.1,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",4.7,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",6.8,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",7.7,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",5.6,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",10.1,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",3.5,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",8,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",9.8,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",8.3,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",6.5,"date",1,0.0223824073283562,0.0223824073283562,1645.30283040791,0.015691672556739,"III","IIID"
"18G1A07",6.2,"date",1,0.00880944805687583,0.00880944805687583,12473358.2037618,0.000180255454045939,"III","IIID"
"18G1A07",8.6,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",9.2,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",9.5,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",8.9,"date",1,0,0,NA,NA,"III","IIID"
"18G1A07",5.9,"date",1,0.0284516043294168,0.0284516043294168,150.066235943201,0.0518533392917957,"III","IIID"
"18G1A07",3.2,"date",1,0,0,NA,NA,"III","IIID"
"18G4B09",6.2,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",6.5,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",8.9,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",3.5,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",5.9,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",9.8,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",8,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",8.6,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",9.2,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",9.5,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",7.7,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",5.3,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",3.2,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",8.3,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",3.8,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",5.6,"date",2,0.0227358519372271,0.0113679259686136,87221267556768498545249644183552,0.0000000000000000000000000000000114650936407126,"IV","IVC"
"18G4B09",10.1,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",7.4,"date",2,0,0,NA,NA,"IV","IVC"
