sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.0172565108163654	0	-27.4223189739296	13.5794551598647	0.69337280880923	0.6505	0.00102382002715125	questionable fit (k < n0)	25G2A02	3.2	1	0.018	2025-10-11
A10	0.2934909161144	0.0235741152469349	0.192131513540842	12.6890400388971	3.60767043253736	10.297202883607	10.292875	0.00650091390025425		25G2A02	5.9	1	0.301	2025-10-11
A11	0.342959902562025	0.0282369157801207	0.210163427716197	11.4723226538681	3.2981341620292	12.4581576452393	12.441375	0.00356033517848247		25G2A02	6.2	1	0.352	2025-10-11
A12	0.340830559396851	0.0208129313740639	0.202059649768915	13.5247269346723	3.43040870036478	11.715150597745	11.7085	0.00343060027024055		25G2A02	6.5	1	0.342	2025-10-11
A13	0.356440371994656	0.0155625669839036	0.221412410624828	13.9407523854399	3.13057058817922	12.1419113267294	12.15775	0.012730370465336		25G2A02	6.8	1	0.368	2025-10-11
A14	0.323892992041905	0.0147775809744327	0.188153239182083	16.1602504729933	3.68395029271413	10.3026407515698	10.316375	0.0100372357727458		25G2A02	7.1	1	0.337	2025-10-11
A15	0.280772867026304	0.0181764296708035	0.207432431917215	12.8740365648972	3.34155644878413	9.83011737616295	9.82462500000001	0.00652480475594792		25G2A02	7.4	1	0.294	2025-10-11
A16	0.193997812416702	0.0121720364494622	0.213574957451479	12.6602283310382	3.24545156806325	6.83710029082415	6.840875	0.00591713258987229		25G2A02	7.7	1	0.202	2025-10-11
A17	0.165903301541331	0.0117462540402812	0.267654155742281	9.61852237986642	2.58971200591917	6.35603513959025	6.36462500000001	0.00411971365269556		25G2A02	8	1	0.169	2025-10-11
A18	0.202226918354324	0.0111768846691499	0.201872535477424	14.0617819394428	3.43358832305082	6.84862721340824	6.86087500000001	0.00379309136238268		25G2A02	8.3	1	0.205	2025-10-11
A19	0.223112431611131	0.0145552308741242	0.19623554598726	13.5666700700105	3.53222030734913	7.65268498143204	7.660125	0.003925638810465		25G2A02	8.6	1	0.223	2025-10-11
