sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.013754514387081	0	-0.4816302826284	0.468552516899468	0.982564339795383	0.9350125	0.00396897329665736	questionable fit	02G3A08	3.2	1	0.0247	2024-30-04
A10	0.131578110745845	0.0252521272981213	0.0723769476977823	19.86266808247	9.5769053905707	3.56109906387089	3.5558875	0.00578544307588197		02G3A08	5.9	1	0.1178	2024-30-04
A11	0.130014054264564	0.0103479466274987	0.191937114544211	12.753746598282	3.6113243767676	4.55304665177238	4.595825	0.0164771117110193		02G3A08	6.2	1	0.1623	2024-30-04
A12	0.101598220534414	0.0139207676616008	0.264649728445731	6.9536552401998	2.6191116258866	4.13396245278789	4.144275	0.0174935836976453		02G3A08	6.5	1	0.1392	2024-30-04
A13	0.134551780668545	0.0210414101578682	0.0920269343380578	18.3142229682276	7.53200338081124	3.86308981652752	3.8572625	0.00747195891570735		02G3A08	6.8	1	0.135	2024-30-04
A14	0.26201777038556	0.0202748355945275	0.0595712516188053	41.6055454618564	11.6355987447666	3.64269384607868	3.65385	0.00804748732792175		02G3A08	7.1	1	0.147	2024-30-04
A15	0	0.025112630993544	0	-0.0876424139989959	8.30510449120941	2.00916789661711	2.0059625	0.00337731287352647	questionable fit	02G3A08	7.4	1	0.0553	2024-30-04
A16	0	0	0	0	0	0	0	0	cannot fit data	02G3A08	7.7	1	0.0415	2024-30-04
A17	0	0.00926135744564805	0	0.664804275150154	0.520724971254332	1.49862821087504	1.47445	0.00293961462635264		02G3A08	8	1	0.0391	2024-30-04
A18	0	0.0346825936003657	0	-35.0629978124691	12.6554948883166	1.50666946930758	1.47725	0.00370408879544746	questionable fit (k < n0)	02G3A08	8.3	1	0.0432	2024-30-04
A19	0	0.00211842216546385	0	1.07521964395502	0.309936336059025	1.20439845435846	1.2045875	0.00413376660294338		02G3A08	8.6	1	0.0405	2024-30-04
A2	0	0.00894257132790487	0	-0.0913641450907626	0.794490737546654	0.816140060799487	0.8132875	0.000629350063202672	questionable fit	02G3A08	3.5	1	0.0186	2024-30-04
A20	0	0.00431850738588993	0	0.760353568367232	0.346943940624934	1.13832618677846	1.13785	0.00491954676705929		02G3A08	8.9	1	0.0367	2024-30-04
A21	0	0.0150054978983636	0	-12.9310864481965	11.2074029781728	0.925722603861343	0.924475	0.00815224900717025	questionable fit	02G3A08	9.2	1	0.0356	2024-30-04
A22	0	0.00479801674977026	0	0.612778080742308	0.278072155811548	1.27796869848664	1.1107375	0.00885054372654876		02G3A08	9.5	1	0.0326	2024-30-04
A23	0	0.00908212924697756	0	0.357765544386684	0.579210169022605	1.0915637706667	1.0895375	0.00324404351989925		02G3A08	9.8	1	0.0305	2024-30-04
A24	0	0.00629477575553129	0	1.06753008605432	0.90720818721096	0.95754342933078	0.95655	0.0017370261335341		02G3A08	10.1	1	0.0261	2024-30-04
A3	0	0.0214838638672466	0	-21.8670318083719	9.26433449673013	0.882711568503484	0.8567125	0.00195187059399361	questionable fit (k < n0)	02G3A08	3.8	1	0.0229	2024-30-04
A4	0	0.0171648163096637	0	-43.3763475037896	21.5921006849459	0.71472604798345	0.682375	0.00247732845492437	questionable fit (k < n0)	02G3A08	4.1	1	0.0216	2024-30-04
A5	0	0.0232118591766264	0	-35.6145214926659	19.6576969796478	0.932778821717722	0.88535	0.0028628502195366	questionable fit (k < n0)	02G3A08	4.4	1	0.0279	2024-30-04
A6	0	0	0	0	0	0	0	0	cannot fit data	02G3A08	4.7	1	0.0317	2024-30-04
A7	0	0.0307075734503035	0	2651.84657289326	143.038899185565	1.66723021977792	1.6628625	0.00301105597927902		02G3A08	5	1	0.0411	2024-30-04
A8	0	0.0239543242546915	0	16.5407931829772	12.7263408995897	2.3561166235718	2.3535625	0.00293305277217698		02G3A08	5.3	1	0.0683	2024-30-04
A9	0.183442875718858	0.0280361118287977	0.0527895155253182	32.4411496910536	13.1303948078006	3.57003865951053	3.5695125	0.00435955343503174		02G3A08	5.6	1	0.1251	2024-30-04
B1	0	0.0206	0	-10.7840002687522	10.4873238970615	0.60990500397773	0.57215	0.00129746144186268	questionable fit (k < n0)	08G1A03	3.2	1	0.0206	2024-30-04
B10	0.2722429079231	0.00440694967139092	0.449620206337506	9.13480282579203	1.54162818038395	10.6252655771594	10.6475	0.00411979617864761		08G1A03	5.9	1	0.2765	2024-30-04
B11	0.423268761864648	0.00784066449084997	0.383192526849764	10.3602906712611	1.8088744742971	15.9955965882142	16.0238875	0.0119370179427974		08G1A03	6.2	1	0.4379	2024-30-04
B12	0.285517963981758	0.0093707221168959	0.373452219647358	9.05964369817277	1.85605318188889	11.1496827148104	11.1688125	0.0104869170723543		08G1A03	6.5	1	0.2979	2024-30-04
