sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	max.OD	date
A1	0	0.0114715483619261	0	3.49300648967441	3.13678025244338	1.56156112479453	1.55775	0.00141380471464589		25G2A02	3.2	0.04	2023-02-27
A10	0.123	0.00365980092314246	0.0704524460764694	285.323858606835	9.83851121091807	1.50222066117009	1.6215	0.00850188503632425		28D03	3.2	0.123	2023-02-27
A11	0.273344921696108	0.00430180705091429	0.282200577563723	14.6556626536175	2.45622169360524	9.16420980717611	9.21625	0.0174702507885218		28D03	5.6	0.305	2023-02-27
A12	0	0.00053504019620145	0	3.46061437694056	0.475203187314149	3.75317419363735	3.76025	0.0362139822666816		28D03	8	0.156	2023-02-27
A2	0.504230828776007	0.00864347400483665	0.303948850443678	13.3211197957636	2.28047311101243	17.5774123759169	17.685125	0.0244681562993237		25G2A02	5.6	0.554	2023-02-27
A3	0.423867060824327	0.0172945830130422	0.189505267539051	16.6611140653654	3.65766709053145	13.2967586976679	13.338875	0.0239513670999169		25G2A02	8	0.451	2023-02-27
A4	0.027	0.0122826830025883	0.0114346817514211	1229.11517793823	60.6179687050583	0.790581908246651	0.78725	0.00207097837835302		35G2B04	3.2	0.027	2023-02-27
A5	0.104317305519956	0.00287857740055799	0.372711787591312	9.55740831650436	1.85974043117735	4.02720017641486	4.059625	0.011876266949112		35G2B04	5.6	0.12	2023-02-27
A6	0.121669642152222	0.000207052907848645	0.762190582890349	8.3632458546581	0.909414516683505	4.8512481436315	4.93625	0.0463486609410135		35G2B04	8	0.255	2023-02-27
B1	0.183228788664724	0.00553456218497989	0.121726055385135	28.4988433226572	5.69432056569041	3.70094049679159	3.738625	0.00528208090450908		25G2A02	3.5	0.164	2023-02-27
B10	0.27861012098462	0.00128422053063646	0.300785185158186	17.8700337397516	2.30445917805231	8.45658136325961	8.531125	0.0102771075770068		28D03	3.5	0.299	2023-02-27
B11	0.280803391022263	0.00376605710068156	0.249824236312748	17.2045905063768	2.77453937532392	8.69953006889455	8.743	0.00905845781059252		28D03	5.9	0.298	2023-02-27
B12	0	0.00763071295552694	0	17.9592254294187	6.73739430454417	1.64094645971414	1.636375	0.00554182580758288		28D03	8.3	0.061	2023-02-27
B2	0.306756177863649	0.0270928564062924	0.225025474108579	10.3735649204428	3.08030538900449	11.4893016589497	11.463625	0.0239590023799617		25G2A02	5.9	0.372	2023-02-27
B3	0.118153458896137	0.0052096833603571	0.484609574267985	6.3481433674708	1.43032085490049	4.93841071980548	4.935625	0.0116712177994342		25G2A02	8.3	0.148	2023-02-27
B4	0.097322410669118	0.000247381800058965	0.62982687370859	9.48245749567432	1.10053605124613	3.7713679186074	3.86175	0.0500572486460648		35G2B04	3.5	0.235	2023-02-27
B5	0.172556359542493	0.0000996078169872338	1.27380472762337	5.85384946559166	0.544154975663498	7.31353815299727	7.3895	0.068410458134639		35G2B04	5.9	0.384	2023-02-27
B6	0.254	0.0723262878449209	0.0123514204543341	1021.80478611727	56.1188231849659	4.7694144150368	4.761	0.0572230673597137		35G2B04	8.3	0.254	2023-02-27
C1	0.209694156137797	0.016409471394017	0.238005454635422	10.3623904930984	2.91231636527705	7.87056154896556	7.84275	0.00909449999841101		25G2A02	3.8	0.226	2023-02-27
C10	0.27105067760626	0.0075125884397046	0.249318952715721	14.269343736479	2.78016241047782	9.17683731046119	9.1885	0.0166182387163362		28D03	3.8	0.297	2023-02-27
C11	0.277459682950549	0.00781709600104562	0.177948792661966	19.8977702901822	3.89520586338936	7.82868055109133	7.808625	0.0135229594128292		28D03	6.2	0.281	2023-02-27
C12	0	0.00632620031486101	0	16.8531090996299	5.62962967005022	1.73501391323696	1.733875	0.00449552341633632		28D03	8.6	0.06	2023-02-27
C2	0.243783029524896	0.0204105547666458	0.282285683975955	8.47647842851405	2.4554811664448	9.61762979395724	9.6035	0.0258226014029021		25G2A02	6.2	0.306	2023-02-27
C3	0.111000468217841	0.00100537726704058	0.826792400178442	5.67865993313839	0.838356981039433	4.7228604701201	4.749625	0.0142351113201855		25G2A02	8.6	0.181	2023-02-27
C4	0.0907888527565518	0.00799428710431149	0.192016376912854	12.1741451952276	3.60983365952441	3.23105883210098	3.2245	0.00680281731525024		35G2B04	3.8	0.113	2023-02-27
C5	0.193268779928708	0.00000422735261391916	1.54598713732392	6.94070414392947	0.44835248872754	7.98143230140635	8.105125	0.0841430563764679		35G2B04	6.2	0.372	2023-02-27
C6	0.0960011979325145	0.000154693423558052	0.905890870523449	7.09694538593666	0.765155277654389	3.94939829197893	4.00625	0.0486983668062791		35G2B04	8.6	0.252	2023-02-27
D1	0.245391457479899	0.0156698954587601	0.25034796928789	10.7255776764032	2.76873498327783	9.14057495676683	9.121125	0.00919992093514551		25G2A02	4.1	0.275	2023-02-27
D10	0.278314900262948	0.0045737971092894	0.269785054997881	15.167033783671	2.56925714645457	9.18712411072468	9.20925	0.0152658862706761		28D03	4.1	0.306	2023-02-27
D11	0.240010228191773	0.022208934547957	0.0778690981970405	29.3195701235672	8.90144096450175	4.87735285168235	4.847875	0.0135205579126301		28D03	6.5	0.197	2023-02-27
D12	0	0.00615585444158473	0	14.4958048474347	4.78309937196739	1.86299488577211	1.867375	0.0037281207631843		28D03	8.9	0.058	2023-02-27
D2	0.311166599559341	0.0286609326696326	0.199166139628301	11.4887181627182	3.48024609932968	11.2851456187092	11.27925	0.0307980022699666		25G2A02	6.5	0.41	2023-02-27
D3	0	0.00163252860400678	0	4.72109890139264	0.833724570089952	3.66777144355261	3.68575	0.02054752458374		25G2A02	8.9	0.199	2023-02-27
D4	0.720183499863339	0.00492708532979828	0.127376801416525	39.080063579441	5.44170659689701	8.0894467733057	8.356625	0.0275353482912625		35G2B04	4.1	0.504	2023-02-27
D5	0.213581050155856	0.00000128334715320364	1.53665996034736	7.82365281768767	0.451073886511145	8.63169041494981	8.7935	0.118879889195051		35G2B04	6.5	0.416	2023-02-27
D6	0	0.000393791744161247	0	6.33986589432207	0.84089860797776	3.08534392991373	3.131125	0.0463016245452972		35G2B04	8.9	0.241	2023-02-27
E1	0.252569287686421	0.0198148223672329	0.236970926082077	10.3960172655233	2.92503047534138	9.47072294802164	9.450375	0.020951568455894		25G2A02	4.4	0.33	2023-02-27
E10	0.28046631801049	0.00415811461257315	0.270883165580926	15.4917532777129	2.55884185004058	9.16883723447743	9.194375	0.015133622563044		28D03	4.4	0.31	2023-02-27
