sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	max.OD	date
A1	0	0.0212042639415897	0	1.58573433378869	2.22763578653976	2.52370581025567	2.51925	0.00355554248503783		25G2A02	3.2	0.065	2023-02-06
A10	0.339	0.000397038146796924	0.139930218189136	164.856129212061	4.95352032984796	2.41971752897357	2.89025	0.0243061139249086		28D03	3.2	0.339	2023-02-06
A11	0.442832697728219	0.00454407391198634	0.292904041263975	15.5991487348472	2.36646506333198	14.4372267092835	14.481375	0.0112608812037493		28D03	5.6	0.459	2023-02-06
A12	0.23128262516314	0.00319006089182945	0.260987493972971	16.3598318840952	2.65586358184553	7.36033741059072	7.43125	0.0123318259292259		28D03	8	0.251	2023-02-06
A2	0.556262040335826	0.00875862713590369	0.462914627974938	8.93324443190726	1.49735423914379	21.8436216756553	21.881375	0.0190332366133992		25G2A02	5.6	0.598	2023-02-06
A3	0.448221765420089	0.0163054999905491	0.252059847349717	12.999806594561	2.74993097015665	15.7280306468721	15.742	0.0211578122923461		25G2A02	8	0.469	2023-02-06
A4	0.098	0.00286326550622335	0.0654046676634407	294.558452038143	10.5978243651774	0.982805399641768	1.1295	0.0124415581331515		35G3B04	3.2	0.098	2023-02-06
A5	0.334630657931189	0.00190482373560437	0.376614689135799	13.7087838101137	1.84046772618051	11.5488320505676	11.66725	0.0141869072913741		35G3B04	5.6	0.359	2023-02-06
A6	0.485427138529837	0.0586224255236124	0.10681940776808	18.5847243680802	6.4889629613456	13.9961823656474	13.872375	0.0996832089039588		35G3B04	8	0.564	2023-02-06
B1	0.390838796130704	0.0303396556274712	0.0805314976609906	30.7337379909593	8.60715621455163	7.50909770670044	7.505	0.00880262706280123		25G2A02	3.5	0.313	2023-02-06
B10	0.390044678050468	0.000779025787534961	0.341186774812825	18.2128195177801	2.0315769300853	11.7081802193613	11.839125	0.0116562514470033		28D03	3.5	0.409	2023-02-06
B11	0.436678503349528	0.00341836609417792	0.304231312450821	15.9160988420462	2.27835581740783	14.1022513258201	14.1665	0.0103837002100314		28D03	5.9	0.452	2023-02-06
B12	0.259936918537283	0.00893951020519386	0.158570917962541	21.0313584342284	4.37121251151291	7.03594199277291	7.05525	0.00611268271951811		28D03	8.3	0.263	2023-02-06
B2	0.550203302134842	0.00741359400018738	0.492694871305756	8.71412891657541	1.40684878396023	21.7299757914032	21.754875	0.0202875202654212		25G2A02	5.9	0.577	2023-02-06
B3	0.455596418818734	0.0262639409166623	0.214694272090931	13.0140160131705	3.22853131482881	15.9221637199216	15.889	0.0117847781984951		25G2A02	8.3	0.476	2023-02-06
B4	0.462567304760797	0.00331371103563212	0.11612482696907	42.4675235935686	5.96898353824514	4.28597528091257	4.49975	0.0145428032025187		35G3B04	3.5	0.277	2023-02-06
