sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	max.OD	date
A1	0	0.0162878010022029	0	2.23894221028384	6.83966056202439	1.48028150035522	1.47637472222222	0.00331361438332875		35G2A07	3.2	0.044	2023-02-09
A10	0.249644482735207	0.000922795788176276	0.147356112429101	37.9806563355566	4.70389160743804	2.89206361924799	3.06737486111111	0.0214485300698272		35G3B04	3.2	0.213	2023-02-09
A11	0.28242344486336	0.01288337715433	0.179940825794618	16.8987729848661	3.85208402539562	8.7831584650378	8.80725	0.0190857798079575		35G3B04	5.6	0.296	2023-02-09
A12	0.189977945119122	0.03186281447693	0.0823457723780931	19.4531395710373	8.41751993505312	5.25101910388772	5.24200013888889	0.00864207801741002		35G3B04	8	0.175	2023-02-09
A2	0.240736397148994	0.00532067368310783	0.315375266004816	12.0166464154819	2.1978488970957	8.7026928542205	8.68712513888889	0.0247938259749356		35G2A07	5.6	0.316	2023-02-09
A3	0.454507717686938	0.0223600270616315	0.108027273081251	27.4143043996102	6.41640912326469	9.67398221217018	9.58725013888889	0.0217393875499988		35G2A07	8	0.401	2023-02-09
A4	0	0.0144813360598351	0	-0.260402728035253	0.577271372502525	1.19806297591664	1.19574972222222	0.00271645799177079	questionable fit	25D05	3.2	0.029	2023-02-09
A5	0.355563800201098	0.00000792918525516648	0.438368839824824	24.4335053414715	1.58119628401721	8.46394331375873	8.90562513888889	0.0402195424896649		25D05	5.6	0.427	2023-02-09
A6	0.107567667929276	0.0003712155826973	0.363433995273577	15.5891730759648	1.9072161371095	3.5109131712299	3.595875	0.0197481611724109		25D05	8	0.149	2023-02-09
B1	0.087	0.0152092853155519	0.0348685649601579	514.105568613501	19.8788559653075	1.90885100180703	1.90925041666667	0.00297870677780923		35G2A07	3.5	0.087	2023-02-09
B10	0.30765151510802	0.00555773003874555	0.187873234552363	21.2672537777181	3.68944082009061	8.27795566237499	8.31887513888889	0.0173861303417277		35G3B04	3.5	0.317	2023-02-09
B11	0.284083075528446	0.0159436210611299	0.173999214675244	16.2210409234757	3.98362246550163	9.00731485078235	9.05200013888889	0.0256526500625654		35G3B04	5.9	0.304	2023-02-09
B12	0.136420981796078	0.0278863248513483	0.104476242518825	13.0071017878516	6.63449568867346	4.54010920950027	4.51250013888889	0.0144726867798455		35G3B04	8.3	0.142	2023-02-09
B2	0.280623479093992	0.0143713500356724	0.245177607843169	11.9064995178573	2.82712269957102	10.1353943127409	10.1282502777778	0.0398908568844294		35G2A07	5.9	0.409	2023-02-09
B3	0.785637794793913	0.0367757425685666	0.0571732204216104	52.7120268877957	12.1236336775941	7.22053428581887	7.165	0.0246755798110668		35G2A07	8.3	0.339	2023-02-09
B4	0.218006805980185	0.0190793650830301	0.10462449035138	22.4071127406076	6.62509492980104	5.57562351251292	5.50087527777778	0.0394480548629074		25D05	3.5	0.252	2023-02-09
B5	0.369175045762844	0.00445503310770318	0.226851764133818	19.41838757545	3.05550712028434	10.6219960980902	10.7362501388889	0.0395670621037053		25D05	5.9	0.396	2023-02-09
B6	0	0.000189119203419944	0	12.0598710934273	1.47966787970528	1.95041439087242	2.0045	0.0123027750709007		25D05	8.3	0.088	2023-02-09
C1	0.141211269804839	0.0000616498405541967	0.815516611201435	9.48614043134715	0.849948573749819	5.47209230413994	5.57125	0.0533399965562704		35G2A07	3.8	0.251	2023-02-09
C10	0.297747198160873	0.00719676784489068	0.203125376278773	18.2062192942562	3.41241056759278	8.90923042265825	8.95749986111111	0.0187868169041438		35G3B04	3.8	0.316	2023-02-09
C11	0.254721420301509	0.0154745798813093	0.171401733356046	15.975901179421	4.04399166209188	8.13053349486916	8.1465	0.022105704786855		35G3B04	6.2	0.269	2023-02-09
C12	0.0887503863396754	0.000266075625484138	0.612639371019014	9.4783329887046	1.13141141975094	3.4394807366489	3.51787513888889	0.014599041354613		35G3B04	8.6	0.142	2023-02-09
C2	0.296826063027201	0.0208735185245264	0.235774650715129	10.9500644092221	2.93987151908638	10.9763579075877	10.9117504166667	0.0586662191534867		35G2A07	6.2	0.435	2023-02-09
C3	0.198303266204664	0.0173562705425065	0.113926210012187	20.5769180843546	6.08417659541029	5.39875179092023	5.35337527777778	0.0104789507593257		35G2A07	8.6	0.217	2023-02-09
C4	0.366307184126355	0.0296461526317591	0.0783756134450033	31.0012785678732	8.84391394328711	6.99586092126537	6.95275	0.0385922787910743		25D05	3.8	0.315	2023-02-09
C5	0.225339829432357	0.00115028727979308	0.299819453560847	17.585517157294	2.31188194204108	6.90340544225403	7.13450013888889	0.0353705286224486		25D05	6.2	0.322	2023-02-09
C6	0	0.00112938087442281	0	10.3819262602847	1.90667017098059	1.90212215437866	1.93562513888889	0.0118700682570892		25D05	8.6	0.083	2023-02-09
D1	0.16868339426798	0.0000620874397007915	1.08120806441485	7.31299297756178	0.641085840342006	6.90327417507968	6.98275027777778	0.0261603400830805		35G2A07	4.1	0.257	2023-02-09
D10	0.286023692451624	0.0103877359249142	0.193217832365497	16.9676633079608	3.58738720993808	8.89274570540215	8.942125	0.0205592136708524		35G3B04	4.1	0.31	2023-02-09
D11	0.23924465439568	0.0111322933009325	0.186653771111668	16.1796255737464	3.71354501134221	7.61189301286043	7.643125	0.0218760502842844		35G3B04	6.5	0.264	2023-02-09
D12	0	0.00000198825180441586	0	11.6047038612479	0.757578418017369	2.97563244399988	3.10375013888889	0.0176039454647676		35G3B04	8.9	0.149	2023-02-09
D2	0.237355545622354	0.0110717973130823	0.223137843121404	13.5225320841938	3.106363182792	8.18950266910919	8.21050041666667	0.047020268000431		35G2A07	6.5	0.365	2023-02-09
D3	0.162652286135254	0.0102175062457812	0.136410193808054	19.8125536554661	5.0813444450881	4.57050221783224	4.56112527777778	0.00664038596976298		35G2A07	8.9	0.16	2023-02-09
D4	0.351	0.0309978491035033	0.0584670103446013	63.111575562472	11.8553552930888	7.07982926121674	7.075625	0.0341153711793816		25D05	4.1	0.351	2023-02-09
D5	0.301971079165011	0.00488664232991527	0.207711321552548	19.775094295589	3.33706981101936	8.5751183914473	8.63437513888889	0.0216810122733188		25D05	6.5	0.333	2023-02-09
