sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.0304147492416881	0	-29.1957099031253	12.0410216149164	1.82464581431197	1.78995	0.00186921711552333	questionable fit (k < n0)	33D06	3.2	1	0.0309	2024-03-15
A10	0.218302617010336	0.0191059750030316	0.183570664803253	12.7705119802871	3.77591474815894	12.4280595385555	12.5047625	0.0104293018920132		33D06	5.9	1	0.2371	2024-03-15
A11	0.409050975950952	0.00867343168964535	0.178136751683279	21.5123684582744	3.89109588004803	19.8667891768586	20.119725	0.0123515678883292		33D06	6.2	1	0.4259	2024-03-15
A12	0.234403342894228	0.0189132362480973	0.195319089004762	12.4568110803561	3.54879384340691	13.4341837890303	13.2732625	0.0122881342192272		33D06	6.5	1	0.2609	2024-03-15
A13	0.207285354677218	0.0228376895905693	0.136422662861113	15.3123645146144	5.08088000939854	11.2008312422061	11.21365	0.00994097906794777		33D06	6.8	1	0.2267	2024-03-15
A14	0.210187838306488	0.0252466909659769	0.127697428167939	15.5942260096498	5.42804338743899	11.2683260113758	11.309925	0.0079539509315887		33D06	7.1	1	0.2228	2024-03-15
A15	0.175244663721637	0.0280901791502688	0.0956016236479853	17.3225398104438	7.2503703819109	8.95785750990187	9.0951375	0.00959187046031655		33D06	7.4	1	0.1826	2024-03-15
A16	0.129546284409587	0.0148637289101515	0.229914197824681	8.88698479671749	3.01480807674391	7.87416932572945	7.7058375	0.00528297665283967		33D06	7.7	1	0.1386	2024-03-15
A17	0.11803096534961	0.012500724404533	0.253459380473387	8.41638197369065	2.73474660620313	7.24021474319456	7.0881375	0.00635111640020704		33D06	8	1	0.1289	2024-03-15
A18	0.139901746660729	0.0230962199239721	0.0987067305562603	16.4207791465658	7.02228892248507	7.27503480470064	7.3001875	0.00658436260467115		33D06	8.3	1	0.148	2024-03-15
A19	0.122836577979067	0.0168903895759869	0.122604940283733	14.9764479991699	5.65350122887267	6.63638349087175	6.6498375	0.00639789339507614		33D06	8.6	1	0.1332	2024-03-15
A2	0	0.0182559784900856	0	-20.0711347726202	18.4994602655728	0.832723456490081	0.8407625	0.00374264426812151	questionable fit (k < n0)	33D06	3.5	1	0.0204	2024-03-15
A20	0.128347068322918	0.0188950887790072	0.076488044639713	22.965469741438	9.06216368616723	5.83981632319497	5.8281	0.00273497938221143		33D06	8.9	1	0.1253	2024-03-15
A21	0	0.0148431515068958	0	12.4077809781762	5.78709078120956	4.51301952958944	4.4242625	0.00680021167163444		33D06	9.2	1	0.0903	2024-03-15
A22	0	0.0140186184494322	0	7.69527156276089	5.8148491760193	2.93076376041335	2.840075	0.0045785512950794		33D06	9.5	1	0.0558	2024-03-15
A23	0	0.0168795970495349	0	2.62170803983722	4.98225112347008	2.62735151918926	2.5674	0.00646253115910527		33D06	9.8	1	0.0514	2024-03-15
A24	0	0.0133541511721528	0	3.14254510149045	5.16943775466273	2.13347541377636	1.9901875	0.0108185242870493		33D06	10.1	1	0.0525	2024-03-15
A3	0	0.0202514038833923	0	-68.1509519605239	38.8401972977784	1.21034906212342	1.1471	0.00323971575588052	questionable fit (k < n0)	33D06	3.8	1	0.0256	2024-03-15
A4	0	0.0144458795992454	0	4.12424796682811	4.14020484937507	2.75346442789509	2.6541	0.00790292699997015		33D06	4.1	1	0.061	2024-03-15
A5	0.196918936386564	0.0179182199903057	0.13843509129309	16.6256381588874	5.00701934809607	10.4149002185575	10.302475	0.00653372174923198		33D06	4.4	1	0.1992	2024-03-15
A6	0.258279556709067	0.0136693698759019	0.199333567531886	14.4707604982557	3.47732290723722	14.3232142423836	14.17905	0.00889908273818141		33D06	4.7	1	0.2736	2024-03-15
A7	0.250236845994729	0.0147531316870273	0.243579664034915	11.372814681981	2.84566933494329	14.6582335464957	14.4359125	0.00666346590630807		33D06	5	1	0.2592	2024-03-15
A8	0.200243961036538	0.00806851645837796	0.307395066193458	10.3138906445932	2.25490665528026	11.9649846362734	11.7587	0.0066758143851799		33D06	5.3	1	0.219	2024-03-15
A9	0.472192096755896	0.0220414842200504	0.153830778670587	19.6102231506331	4.50590698786131	23.7425056352818	23.9061125	0.0127774000980995		33D06	5.6	1	0.4884	2024-03-15
B1	0	0.0228514731794015	0	-10.3585100262364	23.5735466405998	0.674020258024219	0.579562499999999	0.00588831873154996	questionable fit (k < n0)	37G2B01	3.2	1	0.0276	2024-03-15
B10	0.232559216166679	0.0141375996635295	0.119605471146125	22.8884958054065	5.79527988074318	10.887482861811	10.7542	0.00787916319590704		37G2B01	5.9	1	0.2385	2024-03-15
B11	0.427901396145306	0.0163695358548492	0.15074541838559	21.3901320440454	4.59813099451521	20.7767788051502	20.8778625	0.00885289874532336		37G2B01	6.2	1	0.4335	2024-03-15
B12	0.205417440591686	0.0119903934028799	0.12097435944015	22.9866449198083	5.72970325090141	9.60187078078156	9.6448125	0.00916273558831491		37G2B01	6.5	1	0.2199	2024-03-15
B13	0.218827803405922	0.0141695925994222	0.106248002947479	25.1321713999787	6.52386079108313	9.74123382765091	9.735825	0.0126781356684709		37G2B01	6.8	1	0.2308	2024-03-15
B14	0.194657612066595	0.0116847697976658	0.101617506578091	27.0726134151515	6.82113942667225	8.30022241292422	8.287725	0.00668691732936404		37G2B01	7.1	1	0.1899	2024-03-15
B15	0.166855588123671	0.0230622032323	0.0997416270356465	18.3492333415284	6.94942724678256	8.41216814850062	8.2830875	0.00491793566132906		37G2B01	7.4	1	0.1663	2024-03-15
B16	0.149666982693065	0.0191495526938011	0.0835834328002023	22.9618162287812	8.29287763541423	6.85901467492368	6.747075	0.00790404048989605		37G2B01	7.7	1	0.1598	2024-03-15
B17	0.128279685024237	0.026346701937015	0.0632718517317415	21.3834814105485	10.9550639279333	5.88636002461167	5.775325	0.00404925414452097		37G2B01	8	1	0.1337	2024-03-15
B18	0.117248689696939	0.0208776403962485	0.0625051699105918	24.4704092710427	11.0894375865458	5.09850274374327	4.9866	0.00489101663265121		37G2B01	8.3	1	0.1107	2024-03-15
B19	0.330129908486637	0.014851357794479	0.15622455420468	19.557522545025	4.43686451267966	16.6220102049801	16.6163125	0.0114761961229506		37G2B01	8.6	1	0.3673	2024-03-15
B2	0	0.0228941465098747	0	-13.2900930288531	24.6038461237151	0.771905766591733	0.698399999999999	0.00606347572117772	questionable fit (k < n0)	37G2B01	3.5	1	0.0269	2024-03-15
B20	0	0.0260269521134358	0	1484.63468345069	76.0510226419521	2.55903110839115	2.558175	0.0107082101488918		37G2B01	8.9	1	0.0972	2024-03-15
B21	0	0.0387559836717934	0	1054.96192644669	61.7217066652222	4.14048008817604	3.948675	0.0402382535118004		37G2B01	9.2	1	0.1729	2024-03-15
B22	0	0.0106122161439917	0	0.500457821525812	0.515987993334306	2.17880773095609	2.241975	0.0205613189735417		37G2B01	9.5	1	0.0832	2024-03-15
B23	0.202859309995561	0.0213748622979885	0.0242104985143089	88.3482175532221	28.6300251170078	3.23473112659039	3.2565375	0.0217712124502564		37G2B01	9.8	1	0.1166	2024-03-15
B24	0	0	0	0	0	0	0	0	cannot fit data	37G2B01	10.1	1	0.0475	2024-03-15
B3	0	0.0155985595764972	0	18.185082672329	11.7069809904047	2.93530086662876	2.867875	0.00883974864204893		37G2B01	3.8	1	0.0741	2024-03-15
B4	0	0.0119111918470555	0	20.2651111805877	9.22955278276924	3.16529532283033	3.0836125	0.00849187688814948		37G2B01	4.1	1	0.0792	2024-03-15
B5	0.11186467325107	0.000100688458363995	0.233832735749703	29.9877322421465	2.96428632345942	4.49790978508566	4.9170875	0.0103520012825145		37G2B01	4.4	1	0.1247	2024-03-15
B6	0.129897268934505	0.0124177324872482	0.0757831435704752	29.6522229651076	9.14645589906609	5.17234394975901	5.1196625	0.00596103117842991		37G2B01	4.7	1	0.1232	2024-03-15
B7	0.156461679907856	0.0153218364340022	0.0834687879022295	26.6024249730339	8.30426795429038	6.67674354516968	6.50665	0.00594014852582979		37G2B01	5	1	0.1566	2024-03-15
B8	0.163954073443152	0.00934147019790729	0.0880583977586508	31.8704300473167	7.87144892710532	6.23764980048256	6.187825	0.00607372748369162		37G2B01	5.3	1	0.158	2024-03-15
B9	0.344851200526792	0.0136212352008517	0.174350649828115	18.3032464160539	3.97559275657011	17.8170842535599	17.708325	0.0103629607657061		37G2B01	5.6	1	0.3513	2024-03-15
C1	0	0.00785418594662159	0	-16.6858026842291	27.4565267572705	0.291093143227733	0.222375	0.00182382670927145	questionable fit (k < n0)	35G2B08	3.2	1	0.00800000000000001	2024-03-15
C10	0	0.000000238066476670183	0	14.576971458729	0.950607028572301	0.547104081000782	0.540075	0.000732903908542115		35G2B08	5.9	1	0.0131	2024-03-15
C11	0.142202932688148	0.00053886108289359	0.158368734843264	35.1821717840616	4.37679306616894	4.97968823769825	5.0947	0.00738324468347296		35G2B08	6.2	1	0.1557	2024-03-15
C12	0.225096786346239	0.0000911059624368598	0.234754667320157	33.2766873805254	2.95264493981129	8.31103325264355	8.4683625	0.0034204340076698		35G2B08	6.5	1	0.2312	2024-03-15
C13	0.221832158996029	0.000096329261556835	0.216083825262683	35.8262348223313	3.20776985374689	7.62530930673945	7.6901125	0.00284491963687669		35G2B08	6.8	1	0.2268	2024-03-15
C14	0.253518016512588	0.000112625659182896	0.198465680557655	38.8917430471057	3.49252917991826	7.93912407690213	8.0556875	0.00208006417583837		35G2B08	7.1	1	0.2545	2024-03-15
C15	0.233155279270715	0.000213473415548812	0.168951149316496	41.4026874738244	4.10264850735921	6.72351511181851	6.805875	0.00278831483113469		35G2B08	7.4	1	0.2271	2024-03-15
C16	0	0.00136606424144248	0	19.6279101056011	5.42429908159188	0.906710252003761	0.8700125	0.00210738309054827		35G2B08	7.7	1	0.0234	2024-03-15
C17	0.118545115058841	0.0000460569909782771	0.158488197334429	49.5480474814623	4.37349400282042	2.47568210594814	2.5805875	0.00336306920311888		35G2B08	8	1	0.1105	2024-03-15
C18	0.115139820711929	0.0000498808926787608	0.151823644147588	51.0054360331016	4.56547584832133	2.24976313582394	2.3548125	0.00338814942593132		35G2B08	8.3	1	0.1098	2024-03-15
C19	0.15729342461846	0.0000616826073456468	0.171200813483639	45.8144672310878	4.04873765758238	3.84930172868736	3.81665	0.00590300241505101		35G2B08	8.6	1	0.153	2024-03-15
C2	0	0.0039	0	-5.40022861541429	551600.692285723	0.0555807354342737	0.051025	0.000708629198076517	questionable fit (k < n0)	35G2B08	3.5	1	0.0039	2024-03-15
C20	0	0.0000017256247931517	0	186.358968250795	5.22331560911013	0.144469675204006	0.190975	0.00135801514822912		35G2B08	8.9	1	0.0225	2024-03-15
C21	0	0.0000731441482099484	0	278.418077485169	9.52241225950738	0.165455174549084	0.1864625	0.00170833156226776		35G2B08	9.2	1	0.0142	2024-03-15
C22	0	0.00303566956527729	0	-17.4378079808574	9.37007621238718	0.16396938536731	0.156875	0.000616309770465516	questionable fit (k < n0)	35G2B08	9.5	1	0.00470000000000001	2024-03-15
C23	0	0.00009511022943609	0	36.4114010626456	3.90724149574509	2.05600823635373	2.0733125	0.00425372122307313		35G2B08	9.8	1	0.076	2024-03-15
C24	0	0	0	0	0	0	0	0	cannot fit data	35G2B08	10.1	1	0.0043	2024-03-15
C3	0	0.00470000000000001	0	-6.80247932503597	239568.144469852	0.0775831972668781	0.0717625	0.000999892887586914	questionable fit (k < n0)	35G2B08	3.8	1	0.00470000000000001	2024-03-15
C4	0	0	0	0	0	0	0	0	cannot fit data	35G2B08	4.1	1	0.00990000000000001	2024-03-15
C5	0	0.00118303619172203	0	21.1483541252725	5.18412317485818	1.03018539130319	1.0421875	0.00632924787139581		35G2B08	4.4	1	0.0346	2024-03-15
C6	0	0.00110848661364247	0	23.5685290284704	5.34229959430409	1.14355686647991	1.1765125	0.00147564866558612		35G2B08	4.7	1	0.0264	2024-03-15
C7	0.127586667354527	0.00111288294417561	0.0707201182082382	66.9269406419718	9.80127293507833	1.45554176081887	1.5061375	0.00122167965171348		35G2B08	5	1	0.0717	2024-03-15
C8	0	0.000126040545168983	0	39.6111878147313	4.42373899878838	1.91867460056778	1.9410125	0.000963049834580189		35G2B08	5.3	1	0.0649	2024-03-15
C9	0.128881508769162	0.00111083318165914	0.0930423445289715	50.9996468412123	7.44980346388534	2.67713122604432	2.806675	0.00653466778647715		35G2B08	5.6	1	0.1027	2024-03-15
D1	0	0.0245	0	-11.9575238518392	26.883838441934	0.758511146738165	0.7106375	0.00432019045968636	questionable fit (k < n0)	26G1B04	3.2	1	0.0245	2024-03-15
D10	0.332897126256079	0.0125212490813957	0.260189716192208	12.4603994443333	2.66400682818649	19.1722030828941	18.72275	0.0196595758019805		26G1B04	5.9	1	0.3697	2024-03-15
D11	0.495730487160824	0.0131971744049387	0.23912872241716	15.0506688512812	2.89863623889877	27.2831344890351	26.9551125	0.0122729962474798		26G1B04	6.2	1	0.509	2024-03-15
D12	0.343527795344827	0.0169027035340671	0.244542744458292	12.1097006166552	2.8344622617833	19.8846599980537	19.3616	0.0172499790969239		26G1B04	6.5	1	0.3728	2024-03-15
D13	0.356741535307864	0.0216570726691108	0.22093176548293	12.3977217040901	3.1373812590725	20.5192512593994	20.0744875	0.0130815621135694		26G1B04	6.8	1	0.375	2024-03-15
D14	0.332165656074995	0.0200126368363998	0.207511919781782	13.238418308213	3.34027645876368	18.8211322805848	18.520875	0.0153942356187849		26G1B04	7.1	1	0.3578	2024-03-15
D15	0.319878851751216	0.0232258485422548	0.220006621912918	11.5782755741207	3.15057417150973	18.6421669915692	18.188575	0.0123929129416865		26G1B04	7.4	1	0.3337	2024-03-15
D16	0.278816036741653	0.0237433205231386	0.189289989769619	12.5429105852059	3.66182692176994	15.9445721396766	15.772625	0.0161162684276789		26G1B04	7.7	1	0.3056	2024-03-15
D17	0.249736521131825	0.0354490488816458	0.155557230744414	11.566302707126	4.45589817485766	14.3973094270958	14.33195	0.0130001450974299		26G1B04	8	1	0.2766	2024-03-15
D18	0.23852279987431	0.0194800632874213	0.203874047851647	11.8694622167974	3.39987942489046	13.8134273365608	13.4852375	0.0124805544134211		26G1B04	8.3	1	0.2633	2024-03-15
D19	0.188911660944704	0.0302496180895379	0.146720787953924	11.2955559148994	4.72426021033652	10.9032280659693	10.8321875	0.00675816936289706		26G1B04	8.6	1	0.2002	2024-03-15
D2	0	0	0	0	0	0	0	0	cannot fit data	26G1B04	3.5	1	0.0181	2024-03-15
D20	0.145441110983291	0.0265434230161185	0.112002108840651	13.3879743650777	6.1886975855616	8.00333118433962	7.9569375	0.00800084365260984		26G1B04	8.9	1	0.1577	2024-03-15
D21	0.104457888111031	0.0258057593794509	0.11373279917675	9.79873004366011	6.09452317693106	6.04970423211325	5.939225	0.00829716671220937		26G1B04	9.2	1	0.1381	2024-03-15
D22	0	0.0186003873233668	0	8.48160605200123	5.30569066970634	4.46112776106228	4.4617375	0.00135778753011051		26G1B04	9.5	1	0.0773	2024-03-15
D23	0	0.0196589540300469	0	5.90837072207311	5.14084614602503	3.89277766889795	3.9096	0.00973162576885436		26G1B04	9.8	1	0.0928	2024-03-15
D24	0	0.0138177440049743	0	1.81247131323588	2.1644604595784	2.57996227698416	2.602975	0.00578045493469739		26G1B04	10.1	1	0.0511	2024-03-15
D3	0	0	0	0	0	0	0	0	cannot fit data	26G1B04	3.8	1	0.0332	2024-03-15
D4	0.0887576682289938	0.0188723356777897	0.0854164856848921	15.326768046583	8.11491101515248	4.63152085472209	4.5847625	0.00782042846886647		26G1B04	4.1	1	0.1014	2024-03-15
D5	0.211738380040022	0.0136759480080534	0.264118954959527	10.1202264132038	2.62437499295029	12.6676078447986	12.5014125	0.0125505461005772		26G1B04	4.4	1	0.2375	2024-03-15
D6	0.256985439420706	0.0212857492729752	0.18925374527417	12.7052740291493	3.66252820812498	14.657857290741	14.6126625	0.00587281431120895		26G1B04	4.7	1	0.2693	2024-03-15
D7	0.26605614350147	0.0203906912428673	0.227876176149182	10.9221254155109	3.04177115955363	15.6780740555587	15.55645	0.00657429345254237		26G1B04	5	1	0.2772	2024-03-15
