sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0.046	0.0436966623299022	0.0000173761889940136	393307.854328956	39890.6331416368	2.10726693608617	2.099125	0.00115918525721106		26G2A07	3.2	1	0.046	2023-07-26
A10	0.252525576130182	0.0404078177323458	0.16326020813476	10.1562917815087	4.24565905237483	9.34158965071416	9.3185	0.00647852502199522		26G2A07	5.9	1	0.262	2023-07-26
A11	0.271737677932796	0.0518452716050097	0.118150562285102	12.2290965006505	5.86664309635153	9.3215985965126	9.306	0.00631372883499525		26G2A07	6.2	1	0.275	2023-07-26
A12	0.259568973570243	0.0455498589384529	0.147161057490938	10.5140438052849	4.71012639062225	9.44985149541342	9.426125	0.00976968503727258		26G2A07	6.5	1	0.273	2023-07-26
A13	0.267581770926308	0.0667550229775008	0.0915376372865997	12.0323516475063	7.57226427409019	8.94488693366895	8.917125	0.011508737219702		26G2A07	6.8	1	0.263	2023-07-26
A14	0.258408514321417	0.0387814919682349	0.221660160735155	7.82273019756443	3.12707154168374	10.245631900506	10.223375	0.00799273459217807		26G2A07	7.1	1	0.268	2023-07-26
A15	0.187805049535635	0.0611053835180827	0.135617039026376	5.37704911050005	5.11106263295673	7.50236159035435	7.477125	0.0132678696803677		26G2A07	7.4	1	0.206	2023-07-26
A16	0.164856511788055	0.0338111720957034	0.265442891737642	5.10374218621588	2.61128552368634	6.96293021555415	6.9475	0.00939715334542471		26G2A07	7.7	1	0.189	2023-07-26
A17	0.146854689859403	0.0336820387418736	0.322419314278257	3.75892437192494	2.14983144577294	6.40840905163242	6.395375	0.0144990495891398		26G2A07	8	1	0.17	2023-07-26
A18	0.147860311795353	0.0401744102301992	0.218961114873415	4.50302986436738	3.16561769865241	6.24769560806078	6.229	0.0114352228745048		26G2A07	8.3	1	0.161	2023-07-26
A19	0.14432153323363	0.05191610145741	0.13872793671409	4.15602505125188	4.99644986422943	5.89564604229546	5.87875	0.0100809404912562		26G2A07	8.6	1	0.15	2023-07-26
A2	0.0926806365662386	0.0356862492630669	0.18226752259172	2.568682275815	3.80291107655311	3.98247158901316	3.97425	0.00285762567206541		26G2A07	3.5	1	0.102	2023-07-26
A20	0.166563105750947	0.029783638246997	0.223937264850672	6.80731147172797	3.09527394211123	6.74882076860934	6.74425	0.00932976126095988		26G2A07	8.9	1	0.198	2023-07-26
A21	0.144330188896778	0.0517020847504306	0.1226860026091	4.75273852771353	5.64976579087378	5.75535753354109	5.738125	0.00855537973969835		26G2A07	9.2	1	0.152	2023-07-26
A22	0.168105356730028	0.0511313834186087	0.086071033700461	9.6147676928088	8.05319920952957	5.84816996153474	5.835	0.0112002907781497		26G2A07	9.5	1	0.167	2023-07-26
A23	0.269253465384623	0.0810217149883084	0.0858740628115659	9.81619695070643	8.07167097801025	9.32776462786932	9.29625	0.0158695224738835		26G2A07	9.8	1	0.277	2023-07-26
A24	0.315362555075358	0.0901517816897425	0.0576744016595775	15.8743219677945	12.0182812584904	9.14251693953827	9.11525	0.0178853054357759		26G2A07	10.1	1	0.29	2023-07-26
A3	0.169118608711267	0.0383882144156618	0.196163355840956	6.24676633510901	3.53352020099987	6.87413364798246	6.865625	0.00222436597160765		26G2A07	3.8	1	0.172	2023-07-26
A4	0.181380247648805	0.0295063072395731	0.203370736267296	8.05645306787692	3.40829360842221	7.12400977396698	7.11625	0.00248228167390119		26G2A07	4.1	1	0.184	2023-07-26
A5	0.187436863750247	0.0342799113503091	0.208967532034041	7.16333157603596	3.31700898131406	7.51167038893843	7.504	0.0029788211687101		26G2A07	4.4	1	0.194	2023-07-26
A6	0.200798473916052	0.0317686849647104	0.195449299607202	8.55257048078149	3.54642959556762	7.78559356981392	7.77575	0.00398340349644623		26G2A07	4.7	1	0.205	2023-07-26
A7	0.209760672060704	0.0409145873020028	0.176964759499647	8.01007446719536	3.9168656094002	8.17502996210746	8.1615	0.00440801691947899		26G2A07	5	1	0.217	2023-07-26
A8	0.21533825933277	0.0359868104590192	0.176019328990418	9.12510459188461	3.93790377758841	8.19288512292108	8.179625	0.00442154851823112		26G2A07	5.3	1	0.221	2023-07-26
A9	0.236871341718529	0.0438568032303294	0.159424235442939	9.29492091548739	4.3478156168297	8.91540116150666	8.8955	0.00498089708643302		26G2A07	5.6	1	0.241	2023-07-26
B1	0	0	0	0	0	0	0	0	cannot fit data	26G2A07	3.2	2	0.047	2023-07-26
B10	0.250434940406806	0.0378231162390272	0.170226555149904	10.1426456253252	4.07190981424461	9.29345163604674	9.271375	0.00572345332284518		26G2A07	5.9	2	0.26	2023-07-26
B11	0.272140387395336	0.0536070553896913	0.126847461359473	11.0783286259457	5.46441507879797	9.65217536804786	9.630625	0.00758980328597809		26G2A07	6.2	2	0.28	2023-07-26
B12	0.242029603667701	0.0468466218222017	0.139196353657948	10.2521262207886	4.9796360489675	8.82041129155269	8.793375	0.0103330470390199		26G2A07	6.5	2	0.256	2023-07-26
B13	0.256220770118053	0.060456553898414	0.119852596703597	9.80359207252104	5.78333052119128	9.28515341155293	9.251875	0.0132864022147434		26G2A07	6.8	2	0.266	2023-07-26
B14	0.253776582345002	0.0371860194576404	0.25024540518282	7.04139160281677	2.76986976065978	10.285642117327	10.267125	0.00849037401961824		26G2A07	7.1	2	0.262	2023-07-26
B15	0.175837127700673	0.0394764985174897	0.255299403043692	4.85546588050998	2.71503643289491	7.44730161884965	7.432875	0.0108482698987851		26G2A07	7.4	2	0.197	2023-07-26
B16	0.158059718862524	0.0241686572453631	0.35975382722428	4.75872590692843	1.92672635593066	6.79415260480205	6.789875	0.00676136514790336		26G2A07	7.7	2	0.171	2023-07-26
B17	0.133724607701192	0.0267198207438205	0.427873453648733	3.24270627119351	1.61998173677068	5.94286152541703	5.93775	0.0149909350878651		26G2A07	8	2	0.158	2023-07-26
B18	0.129107930950031	0.0184028778306783	0.451469624560935	3.97449204065384	1.53531299305916	5.66649685874464	5.666375	0.0112296063430417		26G2A07	8.3	2	0.145	2023-07-26
B19	0.130026832952154	0.0269972215348957	0.372250652685185	3.59779753815201	1.86204423164879	5.71880673300033	5.713125	0.0102444100464161		26G2A07	8.6	2	0.144	2023-07-26
