sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.00142858843586194	0	0.147621799455345	0.0642102513019982	0.40633222748906	0.40575	0.0011637156400152		18G1A07	3.2	1	0.0109	2024-02-29
A10	0	0.0000896938904916309	0	35.9529886038462	4.73577738371834	0.230692670208547	0.227075	0.000486557306376898		18G1A07	5.9	1	0.016	2024-02-29
A11	0	0.00409859535401652	0	481.035482378686	17.5034675946647	0.594552751948544	0.59675	0.000752227546531923		18G1A07	6.2	1	0.0278	2024-02-29
A12	0.0874852530016699	0.00984773781274348	0.0301107168214292	68.5738901748288	23.0199494974044	0.910314209571786	0.9084875	0.000571464678880832		18G1A07	6.5	1	0.0298	2024-02-29
A13	0	0.00250058743688264	0	25.225587331951	8.96648324261614	0.467334775640267	0.468275	0.000756215024144529		18G1A07	6.8	1	0.0176	2024-02-29
A14	0	0.00232575020161934	0	29.4300377209745	9.32503493868439	0.468453655874505	0.4693875	0.000520522558108208		18G1A07	7.1	1	0.0181	2024-02-29
A15	0	0.00285431365569478	0	6.43611950399485	5.03168864388812	0.384234115880934	0.38355	0.000625391158339149		18G1A07	7.4	1	0.0108	2024-02-29
A16	0	0.00530881684126005	0	0.222177890922298	5.72797361446254	0.456157488873499	0.4558875	0.000833691172676059		18G1A07	7.7	1	0.0126	2024-02-29
A17	0	0.00171023620991076	0	3.68441269594972	4.37741726991442	0.199225345218634	0.1993375	0.000770513440237574		18G1A07	8	1	0.0058	2024-02-29
A18	0	0.0042223821511586	0	-43.9019571552491	16.4396073317674	0.220940285645938	0.2199375	0.000744820050580608	questionable fit	18G1A07	8.3	1	0.0064	2024-02-29
A19	0	0.000236312145419098	0	-11.5319857928566	15853.729759634	0.00448389791348392	0.00375	0.000203584457340604	questionable fit (k < n0)	18G1A07	8.6	1	0.00120000000000001	2024-02-29
A2	0	0	0	0	0	0	0	0	cannot fit data	18G1A07	3.5	1	0.0038	2024-02-29
A20	0	0.000496030151917743	0	0.0783517792185107	0.275839237935089	0.0526710600820676	0.0510624999999999	0.000716452020131844		18G1A07	8.9	1	0.00320000000000001	2024-02-29
A21	0	0.00400750076819994	0	-32.9378402155177	14.2516038506858	0.167759876976881	0.157125	0.000419850306614597	questionable fit (k < n0)	18G1A07	9.2	1	0.0047	2024-02-29
A22	0	0.00297916791911815	0	-17.3578948646263	9.85852601339473	0.11136551391887	0.1013875	0.000518687789970921	questionable fit (k < n0)	18G1A07	9.5	1	0.0034	2024-02-29
A23	0	0	0	0	0	0	0	0	cannot fit data	18G1A07	9.8	1	0.0038	2024-02-29
A24	0	0	0	0	0	0	0	0	cannot fit data	18G1A07	10.1	1	0.0047	2024-02-29
A3	0	0.00382522811948057	0	-11.3403197692574	5.61295401930038	0.22133938992987	0.2205625	0.000216477460408565	questionable fit	18G1A07	3.8	1	0.0053	2024-02-29
A4	0	0.00361475676329384	0	-10.784640718275	7.21727348668491	0.220759404429362	0.2200375	0.000175069816475476	questionable fit	18G1A07	4.1	1	0.0053	2024-02-29
A5	0	0.00538488643761178	0	815.040995196377	32.8498391426867	0.450429216506209	0.45005	0.000807326044277098		18G1A07	4.4	1	0.0174	2024-02-29
A6	0	0.00480557697760984	0	744.477484378714	28.4360899988056	0.441177745998998	0.441825	0.000855972354648336		18G1A07	4.7	1	0.0178	2024-02-29
A7	0	0.00712495153779158	0	629.864014149147	23.6110581122945	0.756368795789577	0.7582375	0.00115811347582895		18G1A07	5	1	0.0312	2024-02-29
A8	0	0.00118963985306178	0	329.910214603296	13.0973120303413	0.265658648379762	0.2665875	0.000415056066479364		18G1A07	5.3	1	0.0155	2024-02-29
A9	0	0.00519162362534776	0	603.293809702116	22.5824591286868	0.573473899913119	0.574075	0.000659673916600887		18G1A07	5.6	1	0.0241	2024-02-29
B1	0	0.00162842722711887	0	0.121860097343461	0.133107942636517	0.225582027634228	0.214025	0.000706997825700534		04G1A01	3.2	1	0.0057	2024-02-29
B10	0	0.00000000000000265830187444763	0	28.1745671332344	0.675603593612827	0.190535708600869	0.1905375	0.00110740349713824		04G1A01	5.9	1	0.0127	2024-02-29
B11	0	0.0000515584244352199	0	31.7478288593037	3.40330033125731	0.551575809543392	0.6242	0.00488008570328197		04G1A01	6.2	1	0.0449	2024-02-29
B12	0	0.00274897800934025	0	22.9061156648502	7.13801704931058	0.706592312344075	0.7159875	0.00280434229050526		04G1A01	6.5	1	0.0274	2024-02-29
B13	0	0.0000201035387226173	0	34.3533979471542	3.26283178537331	0.418589758213564	0.4211	0.00177777631973027		04G1A01	6.8	1	0.0317	2024-02-29
B14	0	0.00288703165599529	0	581.171188823287	28.815646115125	0.262614919547438	0.2627625	0.00138566490473527		04G1A01	7.1	1	0.0131	2024-02-29
B15	0	0.00228979315437405	0	82.3288334631619	78.4932931757942	0.126897232151063	0.12665	0.000343337032800143		04G1A01	7.4	1	0.004	2024-02-29
B16	0	0.00231928324384465	0	1.30261492257783	9.64334072281041	0.186667012434786	0.1864	0.000498660986536906		04G1A01	7.7	1	0.0054	2024-02-29
B17	0	0.00318762493207309	0	-30.1498424980625	16.3461641513831	0.126568987160325	0.122975	0.000655860412541561	questionable fit (k < n0)	04G1A01	8	1	0.0044	2024-02-29
B18	0	0	0	0	0	0	0	0	cannot fit data	04G1A01	8.3	1	0.0076	2024-02-29
B19	0	0.000000000000548845528978403	0	24.4683155780969	0.875466945775508	0.0033746062619987	0.00433749999999999	0.000273305120135118		04G1A01	8.6	1	0.0019	2024-02-29
B2	0	0.0000000061427267799215	0	0.219100145282444	0.0121753117334313	0.077019462193869	0.0768875	0.000174337738076246		04G1A01	3.5	1	0.002	2024-02-29
B20	0	0.0029	0	-0.230790796446726	11.9000166000811	0.00469501003053121	0.00431249999999998	0.000262187779816783	questionable fit (k < n0)	04G1A01	8.9	1	0.0029	2024-02-29
B21	0	0	0	0	0	0	0	0	cannot fit data	04G1A01	9.2	1	0.00149999999999999	2024-02-29
B22	0	0.0021355269188223	0	-11.0188078724004	6.30162197057097	0.0770965852940754	0.0722749999999999	0.000302312043927311	questionable fit (k < n0)	04G1A01	9.5	1	0.0028	2024-02-29
B23	0	0.00275794828796976	0	-16.5810303448388	6.40110487346889	0.114697008595661	0.1101375	0.000496915561287904	questionable fit (k < n0)	04G1A01	9.8	1	0.0043	2024-02-29
B24	0	0.000884470481061512	0	-0.320095940577162	0.612054571399619	0.0715999346218626	0.0542999999999999	0.000953079150199028	questionable fit	04G1A01	10.1	1	0.0024	2024-02-29
B3	0	0.00263065058371379	0	-13.6533650484701	4.15264899991809	0.138086163028212	0.136	0.000435708455970139	questionable fit	04G1A01	3.8	1	0.00560000000000001	2024-02-29
B4	0	0.00264437150904376	0	6141.65855715237	456.112571104407	0.132241665766477	0.1317	0.000226291985013886		04G1A01	4.1	1	0.00360000000000001	2024-02-29
B5	0	0.00227557990671641	0	-19.1804583704232	7.82329068803741	0.124709148409124	0.1243	0.000328203306725683	questionable fit	04G1A01	4.4	1	0.00420000000000001	2024-02-29
B6	0	0.00310775857316499	0	1463.98499569725	69.3023365047318	0.192474055853052	0.1918	0.000451504141245263		04G1A01	4.7	1	0.00609999999999999	2024-02-29
B7	0	0.000202507258754222	0	190.878865860819	6.86372765969329	0.258683827181442	0.2737	0.00110457030880863		04G1A01	5	1	0.0254	2024-02-29
B8	0	0.000000000558825364565893	0	34.0227110705455	1.38814397527511	0.18923712908388	0.1889	0.000335264572119902		04G1A01	5.3	1	0.014	2024-02-29
B9	0.106012648930023	0.00000438954334832419	0.185325445619107	54.4558091000039	3.74016195263626	0.156041863231148	0.1619375	0.000552262510478111		04G1A01	5.6	1	0.0261	2024-02-29
C1	0	0.00507542249159503	0	-0.489211703907108	0.331451995041972	0.331564777493242	0.321625	0.000730707262807858	questionable fit	18G4B09	3.2	1	0.00799999999999999	2024-02-29
C10	0	0.0000000000000000000000000000000432944395999431	0	47.14414400755	0.485216454540678	0.00917058803248631	0.009025	0.00015384670148518		18G4B09	5.9	1	0.0067	2024-02-29
