sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	max.OD	date
A1	0	0.0380297559829228	0	-7.116254471672	14.3140296522472	2.50446537659519	2.49775013888889	0.00195308086843855	questionable fit	25G2A02	3.2	0.063	2023-03-06
A10	0.296	0.0100883716834683	0.0720170933536773	260.116226346278	9.6247591825997	4.37952097762592	4.49887611111111	0.0143027935430564		28D03	3.2	0.296	2023-03-06
A11	0.323498596617335	0.00899966703699889	0.268629144341049	13.2293653413118	2.58031265468326	11.2912944459333	11.3105002777778	0.00886403941678232		28D03	5.6	0.34	2023-03-06
A12	0	0.00663216499526126	0	4.07086928675131	1.26999094410707	2.98212269785074	2.985375	0.00667273922052068		28D03	8	0.078	2023-03-06
A2	0.234383219144217	0.023619527666965	0.362704636713685	6.03428664901863	1.91105133598584	9.8231499203042	9.81262583333333	0.0220469916602695		25G2A02	5.6	0.278	2023-03-06
A3	0.208400320036992	0.0296867362297177	0.199661051945019	8.99065722590719	3.47161939600928	8.01912199084179	8.01287472222222	0.032299953826314		25G2A02	8	0.281	2023-03-06
A4	0.160641641202433	0.0248164178324353	0.0893563287212448	19.0234258478761	7.7571134633595	4.51886687906927	4.52575041666667	0.0243969408576331		35G2B04	3.2	0.237	2023-03-06
A5	0.243718575917138	0.0105114778705085	0.356231610525917	8.70068519852592	1.94577673647947	9.60576176572162	9.63537527777778	0.0255235133007795		35G2B04	5.6	0.291	2023-03-06
A6	0.142097064740093	0.0276252864053429	0.207033715468972	6.86649893989192	3.34799179442744	5.73049209364741	5.72037486111111	0.018358561408182		35G2B04	8	0.19	2023-03-06
B1	0.190656131757055	0.00645365779484731	0.349374775471635	9.59253134405965	1.98396458251526	7.34916204725857	7.40399986111111	0.0127480882943345		25G2A02	3.5	0.208	2023-03-06
B10	0.298513200405305	0.00505321084048552	0.274952903181419	14.7724116020602	2.52096694575578	9.97142730583039	10.018	0.0113161673703358		28D03	3.5	0.315	2023-03-06
B11	0.296057318367031	0.00991658103992572	0.261528032952528	12.8562721622034	2.65037431259143	10.4364946785592	10.4515001388889	0.00922438892009395		28D03	5.9	0.314	2023-03-06
B12	0	0.00539434242028291	0	5.51324334154558	1.55385589245278	2.91376288993684	2.918375	0.00519124981942474		28D03	8.3	0.078	2023-03-06
B2	0.332505491819264	0.0427558482829774	0.22775713007469	8.40154274590038	3.04336105891674	13.0449933128054	13.0143763888889	0.0190214931106802		25G2A02	5.9	0.392	2023-03-06
B3	0.133808027998461	0.0204488048115992	0.31640671152887	5.41277173958174	2.19068419001188	5.66019475372647	5.65124986111111	0.0125692499558447		25G2A02	8.3	0.162	2023-03-06
B4	0.271419104655596	0.0147663370189066	0.237799677010633	12.0074763943565	2.91483650976092	9.76995412608091	9.80550111111111	0.0225757033113254		35G2B04	3.5	0.308	2023-03-06
B5	0.242707471722435	0.0125741615743787	0.34061949919762	8.53449293843876	2.03496036543051	9.5983786449912	9.62312555555556	0.0272153232995307		35G2B04	5.9	0.285	2023-03-06
B6	0.124269994658702	0.0222459802887623	0.25157890751519	6.05395303010216	2.75518797424658	5.14476297200823	5.128125	0.0104882654155733		35G2B04	8.3	0.147	2023-03-06
