sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.0176	0	-15.2250705358242	7.61253526791208	0.677490873853861	0.6609	0.000427971208130905	questionable fit (k < n0)	02G3A08	3.2	1	0.0176	2024-13-05
A10	0.152475634059951	0.0150262161072185	0.216597657127674	10.2192220972381	3.20016010215369	5.71825429673156	5.7084625	0.00633307846519305		02G3A08	5.9	1	0.1693	2024-13-05
A11	0.109820397866044	0.00880607904294383	0.360090215203738	6.77557981577508	1.92492645257735	4.52372443167306	4.5434	0.0125546069127509		02G3A08	6.2	1	0.1272	2024-13-05
A12	0.134236790940891	0.0156725002992028	0.228694245993743	8.84826698838	3.0308903380932	5.20961315477006	5.2071	0.00462127881880736		02G3A08	6.5	1	0.1481	2024-13-05
A13	0.0928327540385032	0.0131407871227656	0.228522178748055	7.88740893776319	3.03317246648579	3.68034029457273	3.6757625	0.00672601450819112		02G3A08	6.8	1	0.1102	2024-13-05
A14	0	0.0146272455570319	0	6.03152630858418	3.09932661219741	2.92029383652202	2.9187375	0.00211717844242266		02G3A08	7.1	1	0.0741	2024-13-05
A15	0	0.0120952049881107	0	5.92809377591764	2.87438296553249	2.59107786406725	2.5914	0.00291663173727286		02G3A08	7.4	1	0.0692	2024-13-05
A16	0	0.0171173853380461	0	1.75460058130977	2.70667484663762	1.95633960162221	1.954225	0.00720939108566828		02G3A08	7.7	1	0.0792	2024-13-05
A17	0	0.0217776095104221	0	0.336755926577941	1.54526304624066	2.18948886246084	2.1853625	0.00252543118974599		02G3A08	8	1	0.0518	2024-13-05
A18	0	0.0145187004650553	0	2.36681191349729	2.36471113772411	1.93687891649308	1.9359875	0.00436320209571422		02G3A08	8.3	1	0.0515	2024-13-05
A19	0	0.0130648591702954	0	1.20492423902546	1.56668664741393	1.62345329134365	1.62125	0.00207023480938009		02G3A08	8.6	1	0.0382	2024-13-05
A2	0	0.0156	0	-13.1513790659186	7.73410484688959	0.564375737558198	0.546575	0.000753217428849679	questionable fit (k < n0)	02G3A08	3.5	1	0.0156	2024-13-05
A20	0	0.0129748651276685	0	0.827618322816962	3.70262285713441	1.23937219508996	1.2374125	0.00288891666408303		02G3A08	8.9	1	0.0321	2024-13-05
A21	0	0.0178160316464299	0	-8.54805573329891	18.243494702613	1.12846765564192	1.125125	0.00253927809140485	questionable fit	02G3A08	9.2	1	0.0305	2024-13-05
A22	0	0	0	0	0	0	0	0	cannot fit data	02G3A08	9.5	1	0.0204	2024-13-05
A23	0	0.0122724529621957	0	0.139939174779661	0.700581579594224	1.25051674904539	1.2487	0.00285125628922051		02G3A08	9.8	1	0.0316	2024-13-05
A24	0	0.0127033010487416	0	-2.36952288712886	3.54864043370295	0.945994670405699	0.9320875	0.00399971422952527	questionable fit	02G3A08	10.1	1	0.0266	2024-13-05
A3	0	0.0178138220760779	0	-47.0172979251185	21.504956740607	0.756443915977554	0.7105125	0.00178953885543314	questionable fit (k < n0)	02G3A08	3.8	1	0.0201	2024-13-05
A4	0	0	0	0	0	0	0	0	cannot fit data	02G3A08	4.1	1	0.0081	2024-13-05
A5	0	0.0185540135106207	0	-2.45683265690814	2.46759861173866	1.30248840989675	1.298875	0.000269725006517301	questionable fit	02G3A08	4.4	1	0.0283	2024-13-05
A6	0	0.0194209900727343	0	0.893097913978308	4.33333029667169	1.81547633218945	1.8115375	0.000327139965746365		02G3A08	4.7	1	0.043	2024-13-05
A7	0.0924213881128399	0.0225607604835266	0.0897518262348098	12.5935051733054	7.72293121642478	3.04391035871026	3.0374875	0.00265337666432409		02G3A08	5	1	0.0936	2024-13-05
A8	0.0951160870787586	0.0142449475758466	0.196307930783089	8.84556585599672	3.53091786865116	3.66481733467627	3.66115	0.00501599687039122		02G3A08	5.3	1	0.1076	2024-13-05
A9	0.13260264040593	0.0175340815058721	0.168278405600479	11.1801725643883	4.11905008302486	4.7986805312501	4.7951625	0.0020865661740048		02G3A08	5.6	1	0.1362	2024-13-05
B1	0	0.0148891484948352	0	-20.1336135342856	8.8734199767003	0.603155258443445	0.5814375	0.00059706883155438	questionable fit (k < n0)	02G3A08	3.2	2	0.0159	2024-13-05
B10	0.174482755242658	0.0175293097971093	0.178945043985012	12.2499895009446	3.87351985349202	6.17093817894427	6.1598875	0.00481357180500942		02G3A08	5.9	2	0.1867	2024-13-05
B11	0.132557280738702	0.0144877895150248	0.2583364872756	8.12106408072754	2.68311761869115	5.25334516577085	5.2635	0.0165711325942797		02G3A08	6.2	2	0.1677	2024-13-05
