sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0	0	0	0	0	0	0	cannot fit data	25G4B06	3.2	1	0.00700000000000001	2024-01-31
A10	0	0.000160145742790912	0	24.1056594640624	3.41277846462528	0.520035119567991	0.516125	0.000556196541537689		25G4B06	5.9	1	0.022	2024-01-31
A11	0	0.000000373040662231538	0	21.3837441764946	1.80558152244202	0.0367686377677029	0.03475	0.00132209227952041		25G4B06	6.2	1	0.005	2024-01-31
A12	0	0.000160648898668555	0	24.586503963948	3.48032820319528	0.511806407352823	0.517	0.000670871245856346		25G4B06	6.5	1	0.022	2024-01-31
A13	0	0.0000132395739521996	0	30.025120590424	3.79760872741158	0.0585326310290441	0.0576250000000001	0.000258799005745771		25G4B06	6.8	1	0.003	2024-01-31
A14	0	0.000415252616594956	0	18.921240822693	10.8949091769643	0.0493454213539863	0.049	0.000369360332571864		25G4B06	7.1	1	0.002	2024-01-31
A15	0	0	0	0	0	0	0	0	cannot fit data	25G4B06	7.4	1	0	2024-01-31
A16	0	0.00247778279097688	0	-5.33075111984878	4.61702361789254	0.164226977299477	0.16375	0.000557580451891795	questionable fit	25G4B06	7.7	1	0.004	2024-01-31
A17	0	0	0	0	0	0	0	0	cannot fit data	25G4B06	8	1	0	2024-01-31
A18	0	0	0	0	0	0	0	0	cannot fit data	25G4B06	8.3	1	0	2024-01-31
A19	0	0	0	0	0	0	0	0	cannot fit data	25G4B06	8.6	1	0	2024-01-31
A2	0	0.00203486990155716	0	-1636.09318332168	278.872684746082	0.0979919875071331	0.0975000000000001	0.000174630756506816	questionable fit (k < n0)	25G4B06	3.5	1	0.003	2024-01-31
A20	0	0.00000000000118450316170045	0	44.7652547164332	1.29912814185707	0.103895101639539	0.17275	0.00352716627038817		25G4B06	8.9	1	0.024	2024-01-31
A21	0	0.00745776621686325	0	10.5224458685358	3.56815706762165	2.41056870803833	2.397	0.00583311393735376		25G4B06	9.2	1	0.079	2024-01-31
