sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.0070160150755149	0	-10328.2989907419	1177.00374329423	0.338159100722357	0.336625	0.000124647895474745	questionable fit (k < n0)	23G1B10	3.2	1	0.00800000000000001	2023-05-12
A10	0	0.00000642159198185746	0	11.6939615217959	1.06478142806799	0.474538502784621	0.475625	0.00189971884584299		23G1B10	5.9	1	0.016	2023-05-12
A11	0	0.0103690698127385	0	4.71681920055889	3.6835786136426	1.48106689620583	1.481375	0.00253851402029308		23G1B10	6.2	1	0.038	2023-05-12
A12	0	0.00203859965424879	0	23.5607169970608	5.87555085244071	0.857389617408073	0.8595	0.000536746529982721		23G1B10	6.5	1	0.032	2023-05-12
A13	0	0.00636835097062071	0	31.8494952084964	15.6139638092328	0.662073451311718	0.660875	0.001426059238242		23G1B10	6.8	1	0.025	2023-05-12
A14	0	0.00436375534592656	0	4.21474610099486	11.0070459226141	0.361049528399221	0.36025	0.000641668599368228		23G1B10	7.1	1	0.01	2023-05-12
A15	0	0.0229034066475882	0	-12.5251921360269	7.08795049307377	1.35101833781274	1.346625	0.000571577469251212	questionable fit	23G1B10	7.4	1	0.03	2023-05-12
A16	0	0.00219159113993618	0	2.27430456452359	5.50000419310317	0.212119536704192	0.211875	0.000962897885880103		23G1B10	7.7	1	0.00700000000000001	2023-05-12
A17	0	0.001	0	-10.8526269462301	198243.691635212	0.0183851019499358	0.016875	0.00033890288200005	questionable fit (k < n0)	23G1B10	8	1	0.001	2023-05-12
A18	0	0.0068836783002201	0	-11.954350833484	3.46283256832927	0.358824854354248	0.357625	0.00110620019335615	questionable fit	23G1B10	8.3	1	0.00900000000000001	2023-05-12
A19	0	0.001	0	-10.8611372731275	240165.900738912	0.0183924715718755	0.016875	0.000338368714846119	questionable fit (k < n0)	23G1B10	8.6	1	0.001	2023-05-12
A2	0	0.00311213912453659	0	-583.222991187964	121.643033623083	0.149304428605401	0.147875	0.000274397917394246	questionable fit (k < n0)	23G1B10	3.5	1	0.004	2023-05-12
A20	0	0.00255011926420086	0	0.51219536716506	1.1748091448159	0.280497242531733	0.27825	0.00139482503790873		23G1B10	8.9	1	0.00800000000000001	2023-05-12
A21	0	0	0	0	0	0	0	0	cannot fit data	23G1B10	9.2	1	0.00700000000000001	2023-05-12
A22	0	0.00291308009880187	0	-0.441535757718352	0.727828478926229	0.0493224306771373	0.0315	0.000698317916991459	questionable fit (k < n0)	23G1B10	9.5	1	0.004	2023-05-12
A23	0	0.012	0	-6.38019145403507	1.77970939800671	0.532654437824512	0.52275	0.000411830250874267	questionable fit (k < n0)	23G1B10	9.8	1	0.012	2023-05-12
A24	0	0.0115320763797959	0	-10.1413071192398	3.48248150454326	0.489158570456865	0.485125	0.00069362134207043	questionable fit (k < n0)	23G1B10	10.1	1	0.014	2023-05-12
A3	0.015	0.00667846230562935	0.0184765182672014	822.859260964589	37.5150323527343	0.519232942437303	0.518	0.000812359554086754		23G1B10	3.8	1	0.015	2023-05-12
A4	0	0.0000745182391501899	0	21.3950852320269	2.73879884634275	0.450598992403014	0.468125	0.00109259669841614		23G1B10	4.1	1	0.017	2023-05-12
A5	0	0.00268407757231366	0	14.468008146381	4.89386805101777	0.774532055018114	0.782375	0.00215061094348154		23G1B10	4.4	1	0.024	2023-05-12
A6	0	0.0118214227289615	0	7.74566790735757	6.22393048842268	1.48931212329914	1.490125	0.00287891396125936		23G1B10	4.7	1	0.04	2023-05-12
A7	0	0.00109556779040388	0	12.1256128758872	2.92191474377407	0.736368739962993	0.7475	0.00214208460896948		23G1B10	5	1	0.023	2023-05-12
A8	0	0.000475136816274282	0	14.2894851661065	2.44213720685506	0.94455784634406	0.972	0.00362012201636541		23G1B10	5.3	1	0.033	2023-05-12
A9	0	0.00111058278259294	0	7.23730897176512	1.93837833490289	0.647460040091486	0.654125	0.00278085367365987		23G1B10	5.6	1	0.02	2023-05-12
