sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.0717176219062342	0	-28.9969291585419	7.05967935715129	3.61412915151148	3.6001625	0.000497931902299862	questionable fit	04G1A01	3.2	1	0.0767	2024-03-06
A10	0	0.000393356061335597	0	16.2849675592335	2.61541438797802	0.951133691622799	0.980075	0.00308379584234522		04G1A01	5.9	1	0.0363	2024-03-06
A11	0	0.000972526218527745	0	26.6863788187926	4.22270647344674	1.70002143586231	1.763775	0.00556691513934848		04G1A01	6.2	1	0.0755	2024-03-06
A12	0	0.0000654659245018797	0	18.5976625690476	2.05426016546543	1.03125009661114	1.0559375	0.00297258234579607		04G1A01	6.5	1	0.0389	2024-03-06
A13	0	0.00121077599859898	0	29.7214395072836	5.13799744740151	1.28664531323312	1.3141625	0.00256709987127944		04G1A01	6.8	1	0.0606	2024-03-06
A14	0	0.00390953799595241	0	12.2005148573615	7.91862065119534	0.505947597987684	0.50725	0.00256991636104554		04G1A01	7.1	1	0.0205	2024-03-06
A15	0	0.00018824677393773	0	13.998469064879	3.41020732102332	0.116281387183301	0.1170875	0.000811888243396313		04G1A01	7.4	1	0.00600000000000001	2024-03-06
A16	0	0.00210446769915132	0	38.7591996301272	18.6255268093637	0.198778260598751	0.1987875	0.00104397545660774		04G1A01	7.7	1	0.00889999999999999	2024-03-06
A17	0	0.0016038770284884	0	-7.85441052915454	11.3001717130302	0.106049015048764	0.105625	0.000622274812065772	questionable fit	04G1A01	8	1	0.00470000000000001	2024-03-06
A18	0	0.00458977888574388	0	-204.549283130636	91.7532289037035	0.227761058317183	0.2266	0.000354535141481425	questionable fit	04G1A01	8.3	1	0.00660000000000001	2024-03-06
A19	0	0.00258609521534471	0	-5.48290825111892	10.2395795602014	0.178457476581172	0.1777	0.000884051761457748	questionable fit	04G1A01	8.6	1	0.00609999999999999	2024-03-06
A2	0	0.0659847287214697	0	46732.5203157798	4538.83292305654	3.19217033055487	3.179275	0.000691139613581718		04G1A01	3.5	1	0.0679	2024-03-06
A20	0	0.0025	0	-1.80360500167295	1.22366974520266	0.078380143307999	0.0761374999999998	0.000235811582322348	questionable fit (k < n0)	04G1A01	8.9	1	0.0025	2024-03-06
