sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.0477481001380221	0	-23.8243033441093	14.8877187949157	1.79315646637102	1.64712513888889	0.00511120891921383	questionable fit (k < n0)	16G1A05	3.2	1	0.048	2023-10-13
A10	0.292116328788919	0.0194886694846215	0.340294134261452	7.75292157185614	2.03690604912805	11.7573624699644	11.7636248611111	0.00567492524020665		16G1A05	5.9	1	0.299	2023-10-13
A11	0.257881976801764	0.00685931319679541	0.411569093015875	8.7468567726564	1.68415751406583	10.1585804880939	10.12775	0.00871381384835556		16G1A05	6.2	1	0.272	2023-10-13
A12	0.326086586457694	0.0113130082901775	0.316908837393296	10.4948172746114	2.18721316281793	12.2603688874523	12.3073752777778	0.0113718188732267		16G1A05	6.5	1	0.338	2023-10-13
A13	0.320617797869875	0.00986936387515714	0.316740968972962	10.8907549948335	2.18837235614795	11.9318807060831	12.0146251388889	0.0164627184224514		16G1A05	6.8	1	0.335	2023-10-13
A14	0.308366974381531	0.0064076190792789	0.307175413341228	12.5426856852749	2.25651907820486	10.9759322844523	11.0807501388889	0.0144491639559729		16G1A05	7.1	1	0.318	2023-10-13
A15	0.28450630682252	0.00620044048280722	0.287133354257962	13.2485493445831	2.41402529619467	9.92346191831765	10.0330001388889	0.013686172731202		16G1A05	7.4	1	0.292	2023-10-13
A16	0.269270414369746	0.0154662798483685	0.192814626500539	14.5108321705177	3.59488900370329	8.99226369776418	9.01512527777778	0.0102205404897384		16G1A05	7.7	1	0.296	2023-10-13
A17	0.224705210438703	0.0213875188313254	0.162753257965814	13.8366644543083	4.25888359608468	7.58971873887692	7.59875013888889	0.00717446961720069		16G1A05	8	1	0.238	2023-10-13
A18	0.191771982661956	0.0171560538967471	0.173632730458451	13.3629054553324	3.99203064266624	6.58077737151733	6.59687513888889	0.00731185134155597		16G1A05	8.3	1	0.208	2023-10-13
A19	0.190251968071536	0.0215270487114486	0.14289218586279	14.4091816934806	4.85084034773973	6.28039020472324	6.28987527777778	0.00684592445520766		16G1A05	8.6	1	0.204	2023-10-13
A2	0.054	0.0420592505449697	0.00407113343234946	3316.8918345044	170.259018054323	2.24007431787171	2.23212513888889	0.00322194815513525		16G1A05	3.5	1	0.054	2023-10-13
A20	0.14990979872115	0.0155754567415089	0.15209157465489	14.1666979063877	4.55743312627779	5.00005394057412	5.02687541666667	0.00678781069702253		16G1A05	8.9	1	0.149	2023-10-13
