sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0	0	0	0	0	0	0	cannot fit data	Wood-1	3.2	1	0.0121	2025-11-07
A10	0	0.00744052801085835	0	11.5408160679752	3.94502905520655	2.30045923610489	2.294675	0.00271750556932218		Wood-1	5.9	1	0.0671	2025-11-07
A11	0	0.0105344745977014	0	9.41693858889305	4.18650568428444	2.28182272344049	2.28	0.00163130902818209		Wood-1	6.2	1	0.0606	2025-11-07
A12	0	0.0089106220624571	0	10.0897307413697	4.36219988839296	1.96642558011069	1.9686625	0.00262189216087948		Wood-1	6.5	1	0.0554	2025-11-07
A13	0	0.00912935140279376	0	8.23489259180178	5.97739475341156	1.22341938550661	1.221325	0.00127991451237257		Wood-1	6.8	1	0.0336	2025-11-07
A14	0	0.0121554203605593	0	2.54157340766946	23.2884319455698	0.790812501250734	0.788975	0.00291752436156901		Wood-1	7.1	1	0.0234	2025-11-07
A15	0	0.00804373268292967	0	7.24529345311605	9.64539643445707	0.759275675544245	0.758449999999999	0.00138306592065799		Wood-1	7.4	1	0.0198	2025-11-07
A16	0	0.0137055701028505	0	339.326820102539	47.6073654450205	0.954203687169412	0.9523375	0.00275418984510488		Wood-1	7.7	1	0.0293	2025-11-07
A17	0	0.00746720260448109	0	0.851839064453076	1.68149785547747	0.832483298155747	0.831149999999999	0.000920619645336239		Wood-1	8	1	0.0199	2025-11-07
A18	0	0.00581916259129392	0	1.32445992664052	1.13234301280141	0.875045268822601	0.8742125	0.00324630883563504		Wood-1	8.3	1	0.0343	2025-11-07
A19	0	0.00238122602078142	0	3.12249886361808	1.26591943589778	0.695918157643741	0.696725	0.00265860654022423		Wood-1	8.6	1	0.029	2025-11-07
A2	0	0	0	0	0	0	0	0	cannot fit data	Wood-1	3.5	1	0.015	2025-11-07
A20	0	0.00318637201423104	0	1.86351071216721	1.15598412576678	0.592872873628322	0.592662500000001	0.0022021495950507		Wood-1	8.9	1	0.0222	2025-11-07
A21	0	0.00744368378822276	0	-0.438907668172894	1.51586242101276	0.63463204956014	0.6332	0.000933218773996426	questionable fit	Wood-1	9.2	1	0.018	2025-11-07
A22	0	0.00603990229481267	0	-0.7816923303352	1.16821890620742	0.466113690561897	0.4651	0.0011833306831041	questionable fit	Wood-1	9.5	1	0.0156	2025-11-07
A23	0	0	0	0	0	0	0	0	cannot fit data	Wood-1	9.8	1	0.0184	2025-11-07
A24	0	0.0109649294159111	0	-1.10263085959646	0.444546993381775	0.434937361421792	0.3509625	0.00365245917313909	questionable fit (k < n0)	Wood-1	10.1	1	0.0124	2025-11-07
A3	0	0.0136937702976349	0	-11.3136931654869	21.9641915188562	0.835558896775589	0.8331375	0.00169887182284121	questionable fit	Wood-1	3.8	1	0.0219	2025-11-07
A4	0	0	0	0	0	0	0	0	cannot fit data	Wood-1	4.1	1	0	2025-11-07
A5	0	0	0	0	0	0	0	0	cannot fit data	Wood-1	4.4	1	0	2025-11-07
A6	0	0.0156871591329719	0	8.4530403218895	6.30557207696421	2.04113833152993	2.036725	0.00157088388399943		Wood-1	4.7	1	0.0563	2025-11-07
A7	0	0.0175097807034038	0	13.9483095950973	8.17019748357997	2.36975160319042	2.363425	0.00215312827260012		Wood-1	5	1	0.0729	2025-11-07
A8	0	0.0124289275508309	0	17.2481244949452	6.77831311058476	2.53212499800034	2.5255125	0.00165977839212819		Wood-1	5.3	1	0.0833	2025-11-07
A9	0	0.00756237703575606	0	13.0835964722933	4.5993494789286	2.12172879870403	2.1178625	0.00182020307116754		Wood-1	5.6	1	0.0653	2025-11-07
B1	0	0	0	0	0	0	0	0	cannot fit data	Wood-2	3.2	1	0.0081	2025-11-07
B10	0	0.00502471289465597	0	7.82329737178944	2.23356597302985	2.48546652492758	2.4888875	0.00643058267321791		Wood-2	5.9	1	0.0757	2025-11-07
B11	0	0.0145030695039224	0	5.18704248580534	4.24618100845571	1.97319152469271	1.9693	0.0038899090766002		Wood-2	6.2	1	0.0529	2025-11-07
B12	0	0.017015882505062	0	3.37718415173508	10.1082339153551	1.42188544243706	1.41925	0.0030831056799611		Wood-2	6.5	1	0.0373	2025-11-07
B13	0	0.011498673870725	0	18.1885743481686	8.46238284385155	1.78352917714568	1.7806375	0.00262773353027665		Wood-2	6.8	1	0.056	2025-11-07
B14	0	0.0158075876786274	0	14.4439902513863	16.9923267079921	1.2605030800783	1.2569125	0.0030513777770331		Wood-2	7.1	1	0.0386	2025-11-07
B15	0	0.0148626918249137	0	6.48264296093937	7.83474476183546	1.5234382916422	1.520875	0.0032227516910632		Wood-2	7.4	1	0.0406	2025-11-07
B16	0	0	0	0	0	0	0	0	cannot fit data	Wood-2	7.7	1	0.0349	2025-11-07
B17	0	0.0126193038629973	0	2.26843617364082	7.58857438874581	1.11399316082074	1.1118375	0.00220982075681699		Wood-2	8	1	0.0318	2025-11-07
B18	0	0.00481648452083468	0	1.55523763946722	0.637843172076107	1.43750053541216	1.437125	0.00407612571679021		Wood-2	8.3	1	0.0411	2025-11-07
B19	0	0.00979931139764622	0	10.0702376834076	8.21858372153697	1.12439208617539	1.121425	0.00346594557971927		Wood-2	8.6	1	0.0479	2025-11-07
B2	0	0.0071604310274809	0	0.017531691766973	0.798517064760049	0.68390392269975	0.682525	0.00145161504545951		Wood-2	3.5	1	0.017	2025-11-07
B20	0	0.00242580598739906	0	1.65392561016984	0.526037731097582	1.10915432940544	1.10925	0.00262788700320496		Wood-2	8.9	1	0.0332	2025-11-07
B21	0	0.00226917662561458	0	13.1965094106602	4.01148437682589	0.842708804363764	0.85135	0.00567927196812169		Wood-2	9.2	1	0.0402	2025-11-07
B22	0	0.00305557264451519	0	1.67165971947013	0.634169888936146	1.02288510699179	1.0231	0.00267005838298954		Wood-2	9.5	1	0.0306	2025-11-07
B23	0	0.00579730640693118	0	5.73649799327742	4.19088559157161	0.840939624095739	0.8432125	0.00618631891420714		Wood-2	9.8	1	0.039	2025-11-07
B24	0	0.00238483255997273	0	2.09095928114937	0.771087165217886	0.827468611180907	0.8278125	0.00372020724228294		Wood-2	10.1	1	0.0293	2025-11-07
B3	0	0.0186827885265063	0	11.2761207894934	6.34745723779827	2.87252073856135	2.8609	0.00403319375159231		Wood-2	3.8	1	0.0897	2025-11-07
B4	0	0.00314881440701956	0	30.4676550858665	6.92678959582243	1.31011364142446	1.2815875	0.00554061819260145		Wood-2	4.1	1	0.0611	2025-11-07
B5	0	0.00000244663911503844	0	17.842690715889	1.36440445769919	0.641989457439017	0.6374	0.00258622695943323		Wood-2	4.4	1	0.0316	2025-11-07
B6	0	0.00740548590411974	0	7.05057072223531	2.39616042865926	2.62002861974858	2.62175	0.00422633481181562		Wood-2	4.7	1	0.0729	2025-11-07
B7	0	0	0	0	0	0	0	0	cannot fit data	Wood-2	5	1	0.1252	2025-11-07
B8	0	0.00435102826923139	0	8.84911231543794	2.32654328879728	2.54679929002571	2.556175	0.00880893278130124		Wood-2	5.3	1	0.0853	2025-11-07
B9	0	0.00546671504032948	0	6.60539765058679	1.91225678799797	2.70388108516689	2.70965	0.00662169183084059		Wood-2	5.6	1	0.0781	2025-11-07
C1	0	0.00295894378463784	0	-7.40468713992887	7.09276297460358	0.194206850266466	0.193674999999999	0.00119220779772739	questionable fit	Wood-11	3.2	1	0.0062	2025-11-07
