sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.00908338063508492	0	-11.4063922977947	13.6205312012351	0.253405613722802	0.212625	0.000988801425040676	questionable fit (k < n0)	28D03	3.2	1	0.01	2023-07-14
A10	0.278314233082199	0.00976790777393632	0.244258265745702	13.5672834963229	2.83776345682231	9.59962464726888	9.59912666666667	0.00852364736200521		28D03	5.9	1	0.287	2023-07-14
A11	0.265810988489666	0.00898216482139257	0.230229756307327	14.5644461268264	3.01067590774271	8.90276641826433	8.91687652777778	0.00871987441629922		28D03	6.2	1	0.275	2023-07-14
A12	0.277457072521745	0.00893738665934305	0.207455316841416	16.4019946778132	3.34118783318435	8.78192397999737	8.77225166666667	0.00854926085265209		28D03	6.5	1	0.293	2023-07-14
A13	0.294653808179956	0.0160077696662981	0.110734693976234	25.7992141947979	6.25953037544593	6.66700638760938	6.63000194444444	0.00829708566188667		28D03	6.8	1	0.293	2023-07-14
A14	0.047	0.0165619796062038	0.0149573406443013	1082.29445844852	46.3416055730491	1.16986271692761	1.16837486111111	0.00510993579429841		28D03	7.1	1	0.047	2023-07-14
A15	0	0.00963401259345268	0	-0.195641651328909	0.659091289591053	0.832550430447419	0.831	0.003781027591424	questionable fit	28D03	7.4	1	0.025	2023-07-14
A16	0	0.00671598939997459	0	0.103260413867576	0.765328939019406	0.66769435325678	0.666624861111111	0.00335281410821379		28D03	7.7	1	0.02	2023-07-14
A17	0	0.0127847959241407	0	-0.89754222269845	0.957494380948886	0.926804848815246	0.9245	0.00309209279275266	questionable fit	28D03	8	1	0.025	2023-07-14
A18	0	0.00744873887251122	0	-0.603882658537528	0.798916096145833	0.565339542492231	0.563999861111111	0.0025240170958003	questionable fit	28D03	8.3	1	0.016	2023-07-14
A19	0	0.00577837773418971	0	0.0405442784960223	1.04612869168826	0.552180915281698	0.551249861111111	0.00186330040285637		28D03	8.6	1	0.015	2023-07-14
A2	0	0.013	0	-11.5644564091259	16.5102807702238	0.344719293690304	0.2865	0.00151755236491899	questionable fit (k < n0)	28D03	3.5	1	0.013	2023-07-14
A20	0	0.00637252609045472	0	-0.531515791184397	1.84129775533026	0.540253156085008	0.53925	0.00115690902808425	questionable fit	28D03	8.9	1	0.014	2023-07-14
A21	0	0.00925275758218311	0	-2.42063597513704	1.93881093288408	0.620832925694436	0.618749722222223	0.00060795644417644	questionable fit	28D03	9.2	1	0.014	2023-07-14
A22	0	0.0076884292580302	0	12.5827365076994	4.85026383783793	1.87203483143627	1.87475	0.00575056126999527		28D03	9.5	1	0.061	2023-07-14
A23	0.13457826272886	0.0223938840192943	0.191086665252321	8.43259192028464	3.62739691775288	5.22463636277728	5.20674958333333	0.00647691618845523		28D03	9.8	1	0.148	2023-07-14
A24	0.136391173447272	0.0194247657841187	0.353097778971039	5.08453478829262	1.96304599417148	5.82186639611176	5.81125069444445	0.0074326336134048		28D03	10.1	1	0.152	2023-07-14
